domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
okcfl.com,Florida Outdoor Living Spaces | Tampa | Outdoor Kitchen Company,,,72,468,2026-09-13T14:12:34.483024859Z,"['Alternate Protocol', 'Amazon CloudFront', 'Better Lead Generation Services', 'CloudFront', 'DAV', 'Duda', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'Tailwind CSS', 'UTF-8']"
primarylatin.com,Hands Up: Primary Latin,,,50,66,2026-09-13T14:12:34.480581949Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network']"
driverpos.io,DriverPOS IO - Golf Management Software,,USA,87,19949,2026-09-13T14:12:34.479619069Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Ant Design Vue', 'CloudFront', 'Content Delivery Network', 'DAV', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google My Business', 'Next.js', 'Pleroma', 'QUIC', 'Radix UI', 'Subversion', 'Tailwind CSS', 'UTF-8', 'University or College']"
richtrautweinarchitect.com,NJ Residential Architect Rich Trautwein,,USA,72,101288,2026-09-13T14:12:34.476150212Z,"['Amazon CloudFront', 'CloudFront', 'DAV', 'DC74', 'Duda', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'SMC', 'Subversion', 'Tailwind CSS', 'UTF-8', 'UserWay']"
3amigosapartments.com,"Apartments for Rent in La Crosse, WI - Now Leasing",,MYS,72,60067,2026-09-13T14:12:34.463536496Z,"['Alternate Protocol', 'Amazon CloudFront', 'AppFolio', 'AudioEye', 'CloudFront', 'Duda', 'Font Awesome', 'GZIP Module', 'Google Tag Manager', 'Nginx', 'SMC', 'Tailwind CSS', 'UTF-8']"
whatan00b.com,What a n00b!,,USA,67,18758,2026-09-13T14:12:34.462781078Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Atlassian Bitbucket', 'Automattic', 'CloudFront', 'Content Delivery Network', 'Disqus Comment System for WordPress', 'GitHub Hosting', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Python', 'QUIC', 'Twitter Ads', 'YouTube', 'shadcn ui']"
alhi.com.au,Publications - 4DMedical,4DMedical,USA,70,230575,2026-09-13T14:04:43.892496051Z,"['AWS WAF Challenge', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'Instagram Follow Button', 'Investor Relations', 'Max Mega Menu', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Prospective', 'Slider Revolution', 'Store Locator WordPress', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
inoperis.com,InOperis | Surgical Video Review & Education Platform,,CAN,77,4310,2026-09-13T14:04:43.887265788Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Auth0', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Next.js', 'Pico CSS', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
fosterconsultancy.co.uk,Home,,,60,698,2026-09-13T14:04:43.885371853Z,"['123-Reg', 'AWS WAF Challenge', 'Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'Tailwind CSS', 'Thank You', 'UTF-8']"
rochereflexology.co.uk,Home,,,40,438,2026-09-13T14:04:43.885854281Z,"['123-Reg', 'Amazon CloudFront', 'CloudFront', 'Duda', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'Twitter Ads', 'UTF-8']"
