domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
zouddha.org,Instant Quantum Shift,,USA,72,66540,2026-09-13T13:10:30.492542861Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'SMC', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube']"
canadianmaplewealth.ca,Canadian Maple Strategic Wealth Management LP,,CAN,55,216,2026-09-13T13:10:30.489300998Z,"['Amazon', 'Cloudflare', 'Cloudflare CDN', 'IcoMoon', 'PHP', 'QUIC', 'UTF-8']"
chubont-luggage.com,Chubont-Custom Luggage and Backpacks Manufacturer,CHUBONT-LUGGAGE,CHN,77,5720,2026-09-13T13:10:30.483942405Z,"['Alternate Protocol', 'Amazon Widgets', 'Cloudflare', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pico CSS', 'QUIC', 'UEESHOP', 'UTF-8', 'WhatsApp Sharing', 'YouTube']"
elmanails.com,"@elmanails | TALKING TWIN AI™ by @Laurasales Stan, | Beacons",,,52,5347,2026-09-13T13:10:30.480952671Z,"['Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Beacons', 'Canva Websites', 'Financial Services Guide', 'GZIP Module', 'Google Cloud', 'Google Cloud DNS', 'Google Cloud Storage', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Subversion', 'Telegram', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube']"
islandsvilla.ca,"Home - Islands' Villa - Lewisporte, Newfoundland",,ZAF,92,17156,2026-09-13T13:10:30.474690286Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon WAF Blocked', 'Aruba', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Fancybox for WordPress', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sassy Social Share', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Engine', 'WP Google Maps', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
toddmarcauthor.com,Explore Engaging Fiction Books at Todd Marc Writes,Todd Marc Writes,,72,34032,2026-09-13T13:10:30.474564236Z,"['AWS WAF Challenge', 'Amazon Associates', 'Amazon Widgets', 'Apache', 'Express', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight', 'YouTube']"
georgiaasyd.org,GA ASYD,,,65,19170,2026-09-13T13:10:30.473988869Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon S3 CDN', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'PHP', 'Storyblocks', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'Visual Composer Ultimate Addons', 'WP Engine', 'WP jQuery Lightbox', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
thefarm.scot,Home,,GBR,55,498,2026-09-13T13:10:30.472183388Z,"['123-Reg', 'Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Nginx', 'Thank You', 'Twitter Ads', 'UTF-8']"
mywingsofhope.org,Wings of Hope – Wings of Hope,,GBR,70,23932,2026-09-13T13:10:30.471109632Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Bunny Fonts', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EWWW Image Optimizer', 'EmbedPress', 'Financial Services Guide', 'Formidable Pro Form', 'PHP', 'Theme In WP', 'Twenty Twenty-One', 'UTF-8', 'Vector Internet Services', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
3dprintbros.co.uk,Home,,,50,498,2026-09-13T13:10:30.469083439Z,"['123-Reg', 'Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'Thank You', 'Twitter Ads', 'UTF-8']"
veterangasplumbing.co.uk,Home,,,60,498,2026-09-13T13:10:30.469656111Z,"['123-Reg', 'Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Thank You', 'UTF-8']"
waivium.io,"Waivium || Website Design & Digital Marketing Agency in Rock Falls, IL",,CAN,77,118841,2026-09-13T13:10:30.467565051Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Clutch', 'Content Delivery Network', 'DAV', 'ElementUI', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'Rush', 'SMC', 'Seflow Italy', 'Semrush', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
hannahwilloughby.dev,Hannah Willoughby's Portfolio,,,65,15240,2026-09-13T13:10:30.46615028Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Astro', 'Content Delivery Network', 'GitHub Hosting', 'Nginx', 'Python', 'Tailwind CSS', 'UTF-8', 'Vercel']"
dorisfrancis.com,Doris Francis,,,65,45168,2026-09-13T13:10:30.465015149Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'ImageKit.io', 'Nuxt.js', 'QUIC', 'RM Education', 'Tailwind CSS', 'Thank You', 'UTF-8']"
faithfulhouses.com,Home,,,65,33740,2026-09-13T13:10:30.465720152Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Tailwind CSS', 'UTF-8']"
glassinflight.com,Glass in Flight | stunning steel and stained glass sculpture exhibits,Glass In Flight ,,82,89828,2026-09-13T13:10:30.464508827Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
crystaldushane333.com,Home | Crystal DuShane,,,67,24246,2026-09-13T13:10:30.46371464Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Apache', 'Apture Linking Platform', 'Aruba', 'BunnyCDN', 'BunnyCDN General', 'CloudFront', 'Coming Soon Page', 'Fingerprint Pro', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'PHP', 'QUIC', 'Square', 'Subversion', 'Tailwind CSS', 'UTF-8', 'YouTube', 'eLand', 'jQuery', 'jsDelivr']"
homebuilder.net.za,Construction | Homebuilder | Centurion,Homebuilder,ZAF,77,135141,2026-09-13T13:10:30.463297182Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'WordPress Related Posts', 'mlcom']"
newjerseypropertyinspections.com,"New Jersey Property Inspections | Home Inspections | 59 2nd Ave, Raritan, NJ, USA",New Jersey Property Inspections ,,82,134828,2026-09-13T13:10:30.463202589Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
putstruckrepair.com,"Mobile Semi Truck Mechanic In Portland, OR - Put's Truck Repair In Portland, OR - Put's Truck Repair",,,62,4468,2026-09-13T13:10:30.462301411Z,"['Amazon S3 CDN', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'jQuery', 'reCAPTCHA']"
