domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
tdtmediatech.io,TDT Media Tech - Media tech,,URY,82,24552,2026-09-13T19:00:39.932068819Z,"['Apache', 'Astro', 'Calendly', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'LinkedIn Insights', 'LinkedIn Pixel', 'Perl', 'Tailwind CSS', 'Ubuntu', 'reCAPTCHA']"
elemonatorgames.com,Elemonator Games Inc. – Game Co‑Development & Projects,,,57,600,2026-09-13T18:50:18.931340304Z,"['Alternate Protocol', 'Astro', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'UTF-8', 'itch.io']"
marissalmoser.com,marissalmoser,,,35,,2026-09-13T18:50:18.912315975Z,"['Astro', 'GZIP Module', 'GitHub Hosting', 'Google My Business', 'Nginx', 'Tailwind CSS', 'Ubuntu', 'shadcn ui']"
petersalmon.dev,Peter Salmon,,SYC,82,2400,2026-09-13T18:50:18.904746732Z,"['Astro', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google My Business', 'Tailwind CSS', 'UTF-8', 'University or College', 'shadcn ui']"
swank.si,Plesna šola Swank,,SVN,62,840,2026-09-13T18:29:14.867622525Z,"['Astro', 'Content Delivery Network', 'FormSubmit', 'Netlify', 'Plivo', 'UTF-8', 'Web3Forms']"
newhampshiredsa.org,NHDSA - Home,,,37,63,2026-09-13T18:29:14.856375342Z,"['Astro', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Netlify', 'Tailwind CSS', 'UTF-8']"
greentouch.online,"Eco-Friendly Dry Cleaners in North Bergen, NJ | GreenTouch",,NOR,77,3160,2026-09-13T18:18:07.02431602Z,"['Astro', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'QUIC']"
homemoverslogisticsllc.com,Home movers logistics Llc | Home,,USA,72,12767,2026-09-13T18:18:06.997315238Z,"['ArvanCloud', 'Astro', 'BLR', 'Better Lead Generation Services', 'Content Delivery Network', 'Font Awesome', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Heroku', 'Instagram Follow Button', 'Netlify', 'Perl', 'Tailwind CSS', 'Tumblr', 'Vimeo', 'Yelp Badge', 'YouTube', 'jsDelivr', 'shadcn ui']"
ericdeng.me,Eric Deng,,,52,,2026-09-13T18:07:16.14073912Z,"['Alternate Protocol', 'Astro', 'Content Delivery Network', 'GitHub Hosting', 'Microdata for Google Shopping', 'QUIC', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'YouTube']"
morganbruce.dev,Morgan Bruce,,,47,5063,2026-09-13T17:57:48.355505612Z,"['Astro', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Onfido', 'Twitter Ads', 'UTF-8', 'Vercel', 'shadcn ui']"
fmpm.dev,Filipe Miranda,,,42,200,2026-09-13T17:57:48.347223618Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astro', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'UTF-8']"
passportprive.com,Passport Privé | Luxury Travel by Paula Zambrano,,FRA,82,478,2026-09-13T17:46:29.588865265Z,"['Alternate Protocol', 'Astro', 'Content Delivery Network', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Netlify', 'Tailwind CSS', 'UTF-8', 'Vello']"
carlosgaragedoorservice.com,Carlos Garage Door Services – Silicon Valley Garage Door Repair & Installation,Carlos Garage Door Services,USA,77,8880,2026-09-13T17:46:29.567085645Z,"['Astro', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'Neighborhoods', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'reCAPTCHA', 'shadcn ui']"
plenitude.in,Tech studio building products and helping founders ship theirs — Plenitude Systems,Plenitude Systems,,77,2908,2026-09-13T17:34:46.881935409Z,"['AI Log', 'Alternate Protocol', 'Astro', 'Better Lead Generation Services', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Microdata for Google Shopping', 'Tailwind CSS', 'shadcn ui']"
louis-andre.com,Louis-André Labadie,,,52,,2026-09-13T17:34:46.868752355Z,"['Astro', 'Content Delivery Network', 'GoatCounter', 'Tailwind CSS', 'UTF-8', 'Vercel']"
brassmonocle.com,"Eyeglasses, sunglasses and contact lenses | The Brass Monocle",,CAN,77,40,2026-09-13T17:06:33.87006265Z,"['Astro', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Radix UI', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
montestransmissioninc.com,Montes Transmission INC | Home,,JPN,72,2527,2026-09-13T16:55:32.167035175Z,"['ArvanCloud', 'Astro', 'Better Lead Generation Services', 'Content Delivery Network', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Google Tag Manager', 'Heroku', 'Netlify', 'PWA', 'Tailwind CSS', 'eLand', 'jsDelivr']"
pciiw.org,Precast Concrete in Illinois & Wisconsin | PCI IW,PCI of Illinois & Wisconsin,USA,77,948,2026-09-13T16:42:26.755185983Z,"['Alternate Protocol', 'Astro', 'Content Delivery Network', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Netlify', 'Tailwind CSS', 'UTF-8']"
tstherapyservices.com,Home,,,40,377,2026-09-13T16:33:05.692789402Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astro', 'Express', 'Google', 'Google Cloud DNS', 'Google Font API', 'Unsplash', 'Zyro']"
nomadphil.com,Nomad Phil,,BRA,67,4800,2026-09-13T16:01:14.069363631Z,"['Astro', 'Builder', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Headless UI', 'Instagram Follow Button', 'PWA', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
edsvard.se,Edsvärd | Document Intelligence Platform,Edsvärd,,77,15228,2026-09-13T15:47:48.539221088Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Astro', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Microdata for Google Shopping', 'Plausible Analytics']"
kbflc.org,Kingdom Builders Family Life Center,,ZAF,77,10516,2026-09-13T15:47:48.529094562Z,"['Astro', 'Content Delivery Network', 'Google My Business', 'NFOrce Internet', 'Netlify', 'QUIC', 'RM Education', 'Sanity', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
