domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
elitescapesproperties.com,"Luxury Vacation Rentals in Miami, Las Vegas, Marbella & Ibiza | Elite Escapes Properties",,USA,82,64880,2026-09-14T10:28:30.679066174Z,"['AWS WAF Challenge', 'Agoda', 'Airbnb', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Authorize.net', 'Book Direct', 'Booking Affiliate', 'Calendly', 'Checkin', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content ad', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'NFOrce Internet', 'Neighborhoods', 'Perl', 'QUIC', 'RM Education', 'Radix UI', 'Thank You', 'Typeform', 'Vector Internet Services', 'Yandex Hosting', 'YouTube']"
imediaconnections.com,iMedia Connections Marketing Systems for Entrepreneurs,,,67,7304,2026-09-14T10:28:30.665568727Z,"['Alternate Protocol', 'Authorize.net', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'HighLevel', 'Ntent', 'Nuxt.js', 'Perl', 'Share Link', 'UTF-8', 'shadcn ui']"
mvsbodyshop.com,Top-Rated Auto Body Shop in El Paso | MVS Collision Repair,,USA,80,38740,2026-09-14T10:05:24.014577474Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Hexo', 'Instagram Follow Button', 'KVH', 'Nuxt.js', 'QUIC', 'Subversion', 'UTF-8', 'shadcn ui']"
writewithsteve.com,Co-Author with Steve Hopper,,,67,3740,2026-09-14T09:59:16.055143489Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'UTF-8', 'shadcn ui']"
trevorely.com,Ely Productions,,,67,68740,2026-09-14T09:48:21.269053276Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'SMC', 'UTF-8', 'YouTube']"
kinnectlife.com,Kinnections Consulting | Your Trusted Financial & Tax Partner,,,77,3740,2026-09-14T09:39:27.199055029Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'UTF-8']"
kooyuetlightings.online,古玥照明工程有限公司 - 商務節能照明解決方案 | 客製化設計與安裝,,,47,8047,2026-09-14T09:30:10.946333145Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'UTF-8', 'Unsplash']"
mdbuilddevelop.com,Custom Construction in Ipswich | MD Builders & Development,,,72,18779,2026-09-14T09:21:57.13181856Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Customer Reviews', 'Google Font API', 'Google Maps', 'Google My Business', 'Microdata for Google Shopping', 'Nuxt.js', 'Pexels', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
maximmarketer.com,"Maxim Marketer | Calgary, AB's Best Internet Marketing Service",Maxim Marketer,CAN,82,19580,2026-09-14T09:21:57.120993522Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'ClickUp', 'Content Delivery Network', 'DAV', 'Facebook CDN', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Ntent', 'Nuxt.js', 'QUIC', 'Thank You', 'UTF-8', 'WordPress']"
trucutlandscaping.com,TruCut Landscaping | Eastern Connecticut Landscaping & Hardscaping Professionals,,,67,18740,2026-09-14T09:21:57.112609941Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'ElementUI', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'UTF-8']"
rivasandsonsconstruction.com,"Expert Concrete, Hardscaping & Pool Contractors",,,77,35480,2026-09-14T09:21:57.098401785Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Content ad', 'Express', 'Fancybox for WordPress', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'NFOrce Internet', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'Vimeo']"
lsroofingltd.co.nz,LS Roofing Services | Commercial & Residential Roofing Auckland,,NZL,80,33740,2026-09-14T09:21:57.093030132Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Tailwind CSS', 'UTF-8']"
