domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
tasamos.com.uy,Tasamos.com.uy,,COL,60,,2026-09-13T14:58:41.321350152Z,"['Apache', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Twitter Ads']"
msmehelp.in,MSME Consulting Services | MSME Help,,IND,57,,2026-09-13T14:58:41.317702336Z,"['Apache', 'Bulma', 'FreeCSSTemplates', 'GZIP Module', 'Ubuntu']"
intv.co,Home - INTV,INTV,SGP,70,1816,2026-09-13T14:58:41.31408811Z,"['Alternate Protocol', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'reCAPTCHA']"
cipdassignmentuk.com,"Trusted CIPD Assignment Help | Level 3, Level 5 & Level 7","CIPD Assignment Help | Expert Writers for All Levels (3, 5, 7)",SGP,77,21327,2026-09-13T14:58:41.313489668Z,"['AJAX Libraries API', 'Apture Linking Platform', 'Better Lead Generation Services', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google Cloud DNS', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'Tawk', 'University or College', 'WhatsApp Sharing', 'eLand', 'jQuery']"
huntmarine.com.tr,Huntmarine,,TUR,62,,2026-09-13T14:58:41.311034208Z,"['Bulma', 'Twitter Ads', 'jQuery', 'shadcn ui']"
gestimac.it,GestiMAC - Il Gestionale per l'Industria 4.0,,,60,7503,2026-09-13T14:58:41.310773226Z,"['Apache', 'Azion', 'Bulma', 'Easy Pie Chart', 'ElementUI', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'PHP', 'Tailwind CSS', 'UTF-8']"
loftsports.com,Poconos Ski Shop | The Loft | Tannersville PA,The Loft,USA,72,3916,2026-09-13T14:58:41.300636342Z,"['Alternate Protocol', 'Apache', 'Bulma', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MonsterInsights', 'PHP', 'PWA', 'Site Kit', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
belkel.mx,Belkel Distribuidora,Belkel,MEX,77,1807,2026-09-13T14:58:41.297487949Z,"['Apache', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Tailwind CSS', 'reCAPTCHA']"
oswaltank.com,Oswaltank,,IND,65,16767,2026-09-13T14:58:41.284858952Z,"['Alternate Protocol', 'Better Lead Generation Services', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Ethy', 'Fireblade', 'Font Awesome', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Tailwind CSS', 'UTF-8', 'WhatsApp Sharing', 'YouTube']"
vijayrubberproducts.com,:: Vijay Rubber Products ::,,IND,70,1540,2026-09-13T14:58:41.275635384Z,"['Bulma', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'UTF-8', 'YouTube']"
