domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
shakarafting.com,Shaka Rafting | Deschutes River Whitewater Rafting,MOd Adventures LLC,,87,111681,2026-09-13T17:14:25.518304968Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Constant Contact', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'Thrive Direct', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Yelp Badge', 'eLand', 'mlcom']"
gjimnaziaristoteli.com,Home - Gjimnazi Aristoteli,Gjimnazi Aristoteli,USA,82,19384,2026-09-13T17:06:33.888069599Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Creative Mail by Constant Contact', 'EmbedPress', 'Font Awesome', 'Google', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'LiteSpeed', 'Microdata for Google Shopping', 'Ntent', 'PHP', 'Thank You', 'The Events Calendar', 'ThemeFusion', 'TrustIndex', 'UTF-8', 'University or College', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
volsun.in,"Home Decor lights, Chandelier, Decorative Lights & Many more - Volsun",Volsun,IND,82,21328,2026-09-13T16:42:26.768937861Z,"['AWS WAF Challenge', 'Add to Any', 'Agoda', 'Alternate Protocol', 'Astra Theme', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Creative Mail by Constant Contact', 'ElementUI', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'QUIC.cloud', 'TI WooCommerce Wishlist', 'Table Addons for Elementor', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts']"
idahointernetmarketing.com,Idaho Internet Marketing - Your Idaho Internet Marketing Service - Idaho Internet Marketing,Idaho Internet Marketing,,72,6482,2026-09-13T16:42:26.736621775Z,"['Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Creative Mail by Constant Contact', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Pagekit', 'Smush Image Optimization', 'Theme In WP', 'UTF-8', 'WP Super Cache', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yandex Hosting', 'eLand', 'jQuery']"
rockfordhoa.com,Home - Rockford HOA,,USA,70,25108,2026-09-13T16:33:05.723031881Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Creative Mail by Constant Contact', 'EmbedPress', 'GZIP Module', 'Google', 'Google My Business', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'Prospective', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
goalsforlifeproject.com,Empowering Athletes for Success | Goals For Life Project,GFLP,GHA,77,154826,2026-09-13T16:33:05.697765347Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Constant Contact', 'Content Delivery Network', 'Contento', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Related Website Sites', 'InitiativeS', 'Kindful', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'NFOrce Internet', 'POWr', 'PWA', 'Pico CSS', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
gpaakconsulting.ca,Home - GPaak Consulting,GPaak Consulting,USA,70,1172,2026-09-13T16:33:05.692984345Z,"['Alternate Protocol', 'Contact Form Plugin', 'Creative Mail by Constant Contact', 'Elementor', 'EmbedPress', 'GZIP Module', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'QUIC', 'Theme In WP', 'To Top', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
prestigesuiteschicago.com,Prestige Suites Yacht Charter | boat rental | Illinois Chicago Loop United States,PRESTIGE SUITES YACHTS AND BOATS,USA,77,154368,2026-09-13T16:33:05.692425283Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Constant Contact', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google My Business', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'NFOrce Internet', 'On The Map', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
thewildflowerconcept.com,The Wildflower Concept | Starting you on the right path!,,,40,585,2026-09-13T16:33:05.668243473Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Cloudflare', 'Cloudflare CDN', 'Creative Mail by Constant Contact', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Jetpack', 'PHP', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
jsa-az.com,Home - The John Samuels Agency - Arizona,The John Samuels Agency - Arizona,USA,75,33538,2026-09-13T16:22:19.53357092Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'CoBlocks', 'Constant Contact', 'Content Delivery Network', 'EmbedPress', 'Fonts Plugin', 'GoDaddy', 'Google', 'Google Cloud CDN', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
airqualityengineering.com,"- Air Quality Engineering, inc.","Air Quality Engineering, inc.",USA,70,18416,2026-09-13T16:22:19.527366685Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Corporate Governance and Regulatory Compliance', 'Creative Mail by Constant Contact', 'DAV', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Jetpack', 'Kadence WP', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Smart Slider 3', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'eLand', 'jQuery']"
venturedealsafrica.com,Home - Venture Deals Africa,,NGA,77,19549,2026-09-13T16:22:19.522669962Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Contact Form Plugin', 'Creative Mail by Constant Contact', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
americanpoliticalparty.us,americanpoliticalparty.us – Where the people can discuss the issues !,,,55,407,2026-09-13T16:22:19.510826964Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Cloudflare', 'Cloudflare CDN', 'Creative Mail by Constant Contact', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Jetpack', 'PHP', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
goatgrips.com,HOME,Goat Grips,,67,37870,2026-09-13T16:01:14.058924472Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astra Theme', 'Cloudflare', 'Cloudflare CDN', 'CoBlocks', 'Coming Soon Page', 'Content Delivery Network', 'Creative Mail by Constant Contact', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Jetpack', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Wangsu', 'Website Tonight', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'YouTube', 'jQuery', 'myStickymenu', 'reCAPTCHA']"
