domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
jennyhookcurtains.co.uk,"Jenny Hook Curtains – Quality fabrics and a friendly, personal approach",,,60,503,2026-09-13T13:10:30.468729936Z,"['Alternate Protocol', 'Apache', 'Better Lead Generation Services', 'Blocksy', 'Content Delivery Network', 'CookieYes', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
havenhomes.ie,Haven – Your Best Move,,IRL,65,24405,2026-09-13T12:59:13.625618768Z,"['Alternate Protocol', 'Contact Form Plugin', 'CookieYes', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'M247', 'Newsletter for Wordpress', 'Nginx', 'PHP', 'Slider Revolution', 'Startit', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
maitlandtravel.co.uk,Home - Maitland Travel,Maitland Travel,AUS,92,18668,2026-09-13T12:45:57.571919174Z,"['Alternate Protocol', 'Apache', 'Content Delivery Network', 'CookieYes', 'EmbedPress', 'Facebook Login', 'Facebook Reseller', 'Fireblade', 'Flying Pages by WP Speed Matters', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Koko Analytics', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'Popup Maker for Wordpress', 'Responsive Data', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jsDelivr']"
lundatec.com,LundaTec - Welcome to LundaTec,LundaTec,,67,751,2026-09-13T12:45:57.547455094Z,"['AJAX Libraries API', 'Alternate Protocol', 'Contact Form Plugin', 'CookieYes', 'Embed Any Document', 'EmbedPress', 'Font Awesome', 'Fontello', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perl', 'Silverlight', 'Slider Revolution', 'Theme In WP', 'TranslatePress', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'mod_pagespeed']"
adfilteringdevsummit.com,Ad Blocker Developer Summit,,VEN,60,9602,2026-09-13T12:25:24.075070355Z,"['AWS WAF Challenge', 'AdGuard', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content Delivery Network', 'CookieYes', 'Corporate Governance and Regulatory Compliance', 'Element Pack Lite', 'Elementor', 'EmbedPress', 'Fireblade', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'NFOrce Internet', 'PHP', 'Slack', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
seera-films.org,Seera – Just another WordPress site,,DEU,65,2808,2026-09-13T12:03:18.554188361Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'CookieYes', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'GoDaddy', 'Header, Footer and Blocks for Elementor', 'Hello Elementor', 'Instagram Follow Button', 'MailChimp', 'NFOrce Internet', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
humaninmotion.com,Human In Motion Robotics – Intelligent Innovation in Human Motion,,PRK,70,28550,2026-09-13T12:03:18.541463582Z,"['Alternate Protocol', 'Content Delivery Network', 'CookieYes', 'Element Pack Lite', 'Elementor', 'EmbedPress', 'GZIP Module', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'InMotion Hosting', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'QUIC', 'RM Education', 'Schema Plugin', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
ampersandtable.com,Ampersand Table,,GBR,72,3329,2026-09-13T11:42:40.283436424Z,"['Content Delivery Network', 'CookieYes', 'Easy Pie Chart', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Placehold IT', 'Plausible Analytics', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jQuery']"
talkofthetowncoupons.com,Mailing Upscale Publications | Talk Of The Town Coupons,,USA,92,18620,2026-09-13T11:42:40.250113425Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'CookieYes', 'DAV', 'Divi', 'Elegant Themes', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
antcube.shop,ANTCUBE by ANTSTORE - the perfect home for your ant colony,ANTCUBE,DEU,82,81376,2026-09-13T11:22:15.555246565Z,"['Akamai Bot Manager', 'Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Autoptimize', 'Cloudflare', 'Cloudflare Bot Manager', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'CookieYes', 'DAV', 'DoubleClick Bid Manager', 'EmbedPress', 'Fireblade', 'Flatsome', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'K2F', 'Kitco', 'Microdata for Google Shopping', 'MonsterInsights', 'Ntent', 'Perl', 'QUIC', 'Sign In With Google', 'Tailwind CSS', 'TranslatePress', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery', 'reCAPTCHA']"
