domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
runnelschironorth.com,"Chiropractic Care in Basehor, KS - Runnels Chiropractic",Runnels Chiropractic North,,82,19392,2026-09-12T20:38:50.779177145Z,"['Alternate Protocol', 'Elfsight', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'PWA', 'UTF-8', 'University or College', 'Wangsu', 'Website Tonight', 'eLand']"
apexwebagency.co.za,Professional & Affordable Website Design in South Africa | Apex Web,,ZAF,65,20300,2026-09-12T20:12:37.224870844Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'CDN JS', 'Chatbase', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Elfsight', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Customer Reviews', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'UTF-8', 'shadcn ui']"
brusselscyclingclassic.be,Race info - Men Elite | Brussels Cycling Classic,,,72,3205,2026-09-12T20:01:02.475993035Z,"['Active Campaign', 'Alternate Protocol', 'Content Delivery Network', 'Cybot', 'Elfsight', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PWA', 'Perl', 'QUIC', 'Twitter Ads', 'UTF-8', 'YouTube', 'reCAPTCHA']"
liviansmith.ca,Mortgage Broker Coquitlam & Vancouver | Livian Smith,,CAN,67,3008,2026-09-12T20:01:02.458656919Z,"['Alternate Protocol', 'Calendly', 'Content Delivery Network', 'Elfsight', 'EmbedPress', 'Font Awesome', 'GTranslate', 'GZIP Module', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Mashshare', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPML Multilingual', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
palacindental.com,PALACIN DENTAL ~ SMILE DESIGN STUDIO,Palacin Dental,USA,75,31669,2026-09-12T19:50:24.845179078Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Elfsight', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
gcbarristers.co.uk,Home - Guildford Chambers Barristers,Guildford Chambers Barristers,CAN,92,78609,2026-09-12T19:50:24.840724208Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CCSI', 'CheryFramework', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'DAV', 'Elfsight', 'EmbedPress', 'Financial Services Guide', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'K2F', 'KVH', 'Lazy Load for WordPress', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'No-Q', 'Onyx Internet', 'PHP', 'Subversion', 'Theme In WP', 'To Top', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
houseplanit.org,"Residential Drafting Service | House Plan It | Louisville, KY",House Plan It,,77,3424,2026-09-12T19:37:18.256618306Z,"['Amazon CloudFront', 'CloudFront', 'Duda', 'Elfsight', 'Financial Services Guide', 'FormSubmit', 'GZIP Module', 'Idaq', 'Microdata for Google Shopping', 'Nginx', 'Tailwind CSS', 'Thank You', 'UTF-8']"
wateredgeconstruction.com,"Wateredge Construction | Design + Build | Richmond, Virginia",,USA,82,36944,2026-09-12T19:37:18.25050704Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Apache', 'CleanTalk Spam Protect', 'Elfsight', 'EmbedPress', 'Fireblade', 'Formidable Pro Form', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Jonas Marketing', 'Microdata for Google Shopping', 'PHP', 'Pico CSS', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'eLand', 'jQuery', 'reCAPTCHA']"
hansomsrepairs.com,Camera Repair Technician | Hansom’s Repairs,,USA,82,2849,2026-09-12T19:26:41.750617753Z,"['Alternate Protocol', 'Elfsight', 'EmbedPress', 'GZIP Module', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MouseWheel Smooth Scroll', 'Nginx', 'PHP', 'Perl', 'QUIC', 'Site Kit', 'Telegram', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube']"
wbproperties.net,"Property Management & Sales | Williams Bros. Properties | Santa Maria - Orcutt, CA",,AUS,82,9158,2026-09-12T19:26:41.738127413Z,"['Alternate Protocol', 'Amazon CloudFront', 'AppFolio', 'CloudFront', 'Duda', 'Elfsight', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Yelp Badge', 'YouTube']"
foxypaddler.com,Foxy Paddler,FOXY PADDLER,,62,80773,2026-09-12T19:11:44.09338849Z,"['Aruba', 'Elfsight', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'LiveChat', 'LiveChat Monitoring', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'Rocket Chat', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'Xola', 'YouTube', 'eLand']"
mcmillanfa.co.uk,Financial Advice Sussex - Wealth Management Consultants,McMillan Financial,,67,21487,2026-09-12T19:02:09.317043071Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'Animate It', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Elfsight', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent']"
iampjv.co,Patrick Vassell Jr. Resume,,,60,5302,2026-09-12T19:02:09.309282314Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'ElementUI', 'Elfsight', 'Express', 'Font Awesome', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Python', 'Salesforce Hosted', 'Tailwind CSS', 'Twitter Ads', 'University or College', 'YouTube', 'jsDelivr']"
michaelsokolowski.net,Michael Sokolowski,©Breezeway Records 2021,AUT,45,421,2026-09-12T19:02:09.30472413Z,"['Aruba', 'Elfsight', 'Express', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
heritageairtexas.com,"The Best HVAC Company In Midlothian, TX | Heritage Air Services",Heritage Air Services LLC,USA,77,84517,2026-09-12T18:24:26.545059078Z,"['Aruba', 'Elfsight', 'Express', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Customer Reviews', 'Google Related Website Sites', 'Google Tag Manager', 'Housecall Pro', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Podium', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
griffinroofingandmore.com,Scrolling Menu Example,,GBR,70,19100,2026-09-12T18:13:26.104494173Z,"['Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Elfsight', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'UTF-8']"
houseofvows.au,House of Vows | Perth Marriage Registry Office & Elopement Venue,House of Vows (WA),AUS,77,109297,2026-09-12T18:13:26.102989047Z,"['Accordion Blocks', 'Accordion FAQ', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Calendly', 'Elfsight', 'Express', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'InMotion Hosting', 'Instagram Follow Button', 'K2F', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Perl', 'Pinterest Conversion Tracking', 'Prospective', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
coastalphysiotherapy.in,"Coastal Physiotherapy Centre, Near City Clinic, Balia, Balasore",,,60,399,2026-09-12T18:13:26.083194917Z,"['Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Elfsight', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'HostGator', 'IcoMoon', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'QUIC', 'Thank You', 'UTF-8', 'University or College', 'Visual Studio', 'W3layouts', 'WhatsApp Sharing']"
saferaestheticstraining.co.uk,Safer aesthetic training LTD | Aesthetics Training Cardiff | Aesthetic Courses Cardiff | Aesthetics Course Wales,,GBR,82,22525,2026-09-12T18:03:14.100186293Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'CloudFront', 'Cloudinary', 'Content Delivery Network', 'Elfsight', 'Facebook Login', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'JotForm', 'Kajabi', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'RM Education', 'UTF-8', 'Vimeo', 'YouTube', 'jQuery', 'reCAPTCHA']"
hometeamstl.com,"St. Louis Handyman, Home Team Pro | Free Estimates For Our Professional Handyman Services",,SEN,82,19962,2026-09-12T18:03:14.085920781Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Apture Linking Platform', 'CleanTalk Spam Protect', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'Elfsight', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Marketing Pro', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Perl', 'QUIC', 'RankMath', 'Sitelinks Search Box', 'UTF-8', 'University or College', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'jQuery']"
highparktravel.com,High Park Travel,High Park Travel,FRA,77,128307,2026-09-12T17:47:30.394340864Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Calendly', 'Contento', 'Elfsight', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Harbor', 'Instagram Follow Button', 'KVH', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'POWr', 'Pantheon', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'Yelp Badge', 'eLand']"
bellinihairbar.com,"Bellini Hair Bar | Beauty Salon | Franklin Square, NY",Bellini Hair Bar,USA,77,88895,2026-09-12T17:47:30.383980752Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Elfsight', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
tradeglobalteam.com,Hire Top 1% Virtual Assistants from Latin America,,USA,77,42196,2026-09-12T17:47:30.352223807Z,"['Alternate Protocol', 'Apture Linking Platform', 'Barchart', 'Cloudflare', 'Cloudflare CDN', 'Clutch', 'Content Delivery Network', 'Elementor', 'Elfsight', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hexo', 'Instagram Follow Button', 'KVH', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'OceanWP', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Table of Contents Plus', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Yahoo Finance Widget', 'jQuery', 'reCAPTCHA']"
beamburn.org,"Beam & Burn LLC | Laser Engraving & Sublimation | Arlington, WA","Beam & Burn, LLC",USA,87,96642,2026-09-12T17:27:28.405213002Z,"['34SP.com', 'About Cookies', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'DAV', 'Elfsight', 'Express', 'Fastly CDN', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Investor Relations', 'Line2', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'QUIC', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'Umbler', 'Underscores']"
bgxcare.com,"BGX Care, LLC - Expert Care Management in Valparaiso, Indiana","BGX Care, LLC",USA,77,89321,2026-09-12T17:27:28.352764016Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Elfsight', 'Express', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'No-Q', 'Oddle', 'Pico CSS', 'SMC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
mmaaz.com,Mingus Mountain Youth Treatment Center,,USA,75,28911,2026-09-12T17:14:13.489693877Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'Custom Facebook Feed', 'Custom Twitter Feeds', 'Divi', 'Elegant Themes', 'Elfsight', 'EmbedPress', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gtranslate for Wordpress', 'HubSpot WordPress Plugin', 'Instagram Feed for WordPress', 'Ntent', 'PHP', 'QUIC', 'Square', 'Theme In WP', 'TrustIndex', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
heclynteleios.com,Heclyn Teleios,,GHA,67,15828,2026-09-12T17:14:13.485468286Z,"['AWS WAF Challenge', 'Elfsight', 'IcoMoon', 'Instagram Follow Button', 'QUIC', 'YouTube', 'jQuery']"
spacecoastcleaningco.com,Space Coast Cleaning Company,,,60,26621,2026-09-12T17:06:07.597267556Z,"['Alternate Protocol', 'Aruba', 'Elfsight', 'Express', 'GZIP Module', 'Google Customer Reviews', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
