domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
wgc.net.in,Home - WGC - Uncomplicate Your Business !,WGC - Uncomplicate Your Business !,,60,5698,2026-09-13T12:12:41.376999254Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Endis', 'Everest Forms', 'Express', 'Flash', 'GZIP Module', 'Google', 'Google My Business', 'Google Related Website Sites', 'HubSpot WordPress Plugin', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'reCAPTCHA']"
trustwithincoaching.com,Home | Trust Within Coachin,,USA,65,89421,2026-09-13T12:12:41.372497642Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
mountainmealsonwheels.org,Mountain Meals on Wheels | Serving Lake Arrowhead and the surrounding San Bernardino Mountain Communities since 1979,,,55,20,2026-09-13T12:12:41.371512367Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'Express', 'FreeCSSTemplates', 'GZIP Module', 'Jetpack', 'Lazy Load for WordPress', 'PDF Embedder for Wordpress', 'PHP', 'Perl', 'TablePress', 'Theme In WP', 'Twenty Twelve', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Download Manager', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
majorsinghforgovernor.com,- Bring Back Quality of Life: Major Singh for Governor,,USA,77,1589,2026-09-13T12:12:41.371046866Z,"['Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'Express', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Simple Download Monitor', 'Theme In WP', 'Twenty Twenty-One', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery']"
thelizardgroup.com,The Lizard Group | Creative Services | Dallas,,USA,87,143368,2026-09-13T12:12:41.37160024Z,"['123FormBuilder', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Google Related Website Sites', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'On The Map', 'PWA', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
kpdancecenter.com,KP Dance | Long Island's Complete Dance Studio,,USA,72,16428,2026-09-13T12:12:41.370706343Z,"['AWS WAF Challenge', 'App Store', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'Oddle', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
modtech.co.in,Modtech – Precision. Strength. Innovation in Every Build.,,IND,70,2750,2026-09-13T12:12:41.370414503Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Corporate Governance and Regulatory Compliance', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Express', 'FormSubmit', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Metform Elemento', 'NFOrce Internet', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
binarymigration.io,"Cloud, Embedded & Mobile Software Development – Binary Migration",Binary Migration,EST,87,115141,2026-09-13T12:12:41.368999341Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'M247', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
geo-engineering.me,geo-engineering.me,,,45,601,2026-09-13T12:12:41.364288554Z,"['Adobe Creative Cloud WebFonts', 'Amazon', 'Aruba', 'Express', 'GZIP Module', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
professionalcarpetrepairs.com,Carpet Repair | Professional Carpet Repair Services,Professional Carpet Repair Services,CAN,87,96341,2026-09-13T12:12:41.364363167Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Call to Visit', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Conversion Tracking', 'Google Customer Reviews', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Yelp Badge', 'YouTube', 'eLand', 'mlcom']"
