domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
greenpacketglobal.com,HOME | Green Packet Global,,SGP,77,134421,2026-09-13T14:12:34.492586636Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
shaniblumenfeld.com,shani blumenfeld | art,,,57,36896,2026-09-13T14:12:34.491149942Z,"['Agoda', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
primrose-lodge.com,Lodge Rental | Primrose Lodge For Hire | England,www.jjslodge.com,GBR,72,90141,2026-09-13T14:12:34.489677634Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
anna-czene.com,Home | Anna Czene,Anna Czene,,65,89108,2026-09-13T14:12:34.487978173Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
tiqbal.com,Tariq Iqbal,,USA,60,600,2026-09-13T14:12:34.487682989Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Jekyll', 'Microdata for Google Shopping', 'PWA', 'Schema Plugin', 'UTF-8', 'University or College']"
cheffarnaz.com,Chef | Www.cheffarnaz.com,,USA,82,89421,2026-09-13T14:12:34.483478764Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Yelp Badge', 'eLand', 'mlcom']"
steamworksaz.com,Tucson Restaurant Detailing | Power Washing | Steam Works,,,77,87108,2026-09-13T14:12:34.483367145Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google My Business', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
newpathhw.com,Holistic Health Practitioner | New Path Health And Wellness | Pleasant View,New Path Health and Wellness,GBR,87,106503,2026-09-13T14:12:34.48199573Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Ethy', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Customer Reviews', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
inspired-learning-journey.com,Inspired Learning Journey | Home,Inspired Learning Journey,,82,104421,2026-09-13T14:12:34.480782391Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
driverpos.io,DriverPOS IO - Golf Management Software,,USA,87,19949,2026-09-13T14:12:34.479619069Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Ant Design Vue', 'CloudFront', 'Content Delivery Network', 'DAV', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google My Business', 'Next.js', 'Pleroma', 'QUIC', 'Radix UI', 'Subversion', 'Tailwind CSS', 'UTF-8', 'University or College']"
dbbai.co.uk,Dragon Black Belt Academy | Tang Soo Do | Karate,Dragon Black Belt Academy International DBBAI,CAN,77,106141,2026-09-13T14:12:34.479539659Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'On The Map', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
knowledgekites.com,Knowledge Kites - Fly High,,IND,65,2440,2026-09-13T14:12:34.479045525Z,"['Content Delivery Network', 'DAV', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Python', 'UTF-8', 'University or College']"
stormaesthetics.co.uk,Semi-Permanent Makeup & Aesthetic Solutions in Hitchin,Storm Aesthetics,GBR,87,135237,2026-09-13T14:12:34.479114037Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Contento', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'Fresha', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'Pico CSS', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
joyousstays.co.uk,HOME | Joyous Stays,,GBR,75,89421,2026-09-13T14:12:34.477658054Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
noellesalmi.com,Noelle Salmi,,VEN,72,93141,2026-09-13T14:12:34.476268159Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'DAV', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
