domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
yesicaaraujorealtor.com,Yesica Araujo,,EGY,65,35120,2026-09-13T23:11:22.317060771Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Beaver Builder Lite', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Debian', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LeadRouter', 'MoxiWorks', 'PHP', 'Prospective', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'Thank You', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
gsfinancial.org,"Golden State Financial | Mortgages | Refinance | Pleasanton, California",Golden State Financial,,77,51248,2026-09-13T23:11:22.316168229Z,"['Amazon', 'Content Delivery Network', 'Facebook Pixel', 'Facebook Tag API', 'Font Awesome', 'FreeCSSTemplates', 'GZIP Module', 'Global Privacy Control', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'M247', 'Nationwide Mortgage Licensing System and Registry', 'QUIC', 'Tailwind CSS', 'Tawk', 'UTF-8', 'UserWay', 'Vanilla Forums', 'WoWonder', 'jsDelivr']"
bunorrenergy.com,Bunorrenergy | Home | We buy used Engine Oil in Nigeria | Used Engine Oil | Spent Engine Oil | Sell Used Engine Oil,,NGA,77,2307,2026-09-13T23:11:22.315408337Z,"['AJAX Libraries API', 'Aruba', 'Content Delivery Network', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'IcoMoon', 'Sucuri Cloudproxy', 'Twitter Ads', 'UTF-8', 'eLand', 'jQuery', 'reCAPTCHA']"
officecrm360.com,Home | Default Company,,IND,72,21669,2026-09-13T23:11:22.311245421Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cookies and You', 'Font Awesome', 'GetButton.io', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'KVH', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Perl', 'Pexels', 'QUIC', 'UTF-8', 'WhatsApp Sharing', 'YouTube', 'jQuery', 'reCAPTCHA']"
dnucraft.com,DNU Craft - Decor N Utility Craft,,IND,70,17939,2026-09-13T23:11:22.308717471Z,"['AJAX Libraries API', 'Better Lead Generation Services', 'Bulma', 'DAV', 'Endis', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'PHP', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Ucraft', 'jQuery', 'jsDelivr', 'shadcn ui']"
mainironworks.com,"Tug Construction, Rebuild & Repair - Main Iron Works",,USA,82,1542,2026-09-13T23:11:22.308373144Z,"['Alternate Protocol', 'Bridge', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'LayerSlider Responsive', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'QUIC', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
vectortrainingcenter.ae,Electrical &amp; Waste Management Training And Assessments - Vector Training Center,,,62,9698,2026-09-13T23:11:22.306302521Z,"['Corporate Governance and Regulatory Compliance', 'ETranslate', 'Elfsight', 'Font Awesome', 'GTranslate', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'NFOrce Internet', 'Nginx', 'QUIC', 'Slider Revolution', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'jQuery']"
dhammachaitipitaka.org,DTP,,,57,702,2026-09-13T23:11:22.304188544Z,"['AJAX Libraries API', 'Advisory Board', 'Apache', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Fastly CDN', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Tailwind CSS', 'UTF-8', 'University or College', 'jQuery', 'jsDelivr']"
digitalmediamanagement.com,Digital Media Management | DMM | Social Media Agency Los Angeles,Social Media Campaign,USA,72,843,2026-09-13T23:11:22.301795488Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'Bulma', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Sitelinks Search Box', 'Tailwind CSS', 'The SEO Framework', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite']"
lincolnmovingandstorage.com,Greater Seattle/Tacoma Moving Company | Lincoln Moving and Storage | Kent | Everett | Tacoma,Lincoln Moving &amp; Storage Company,USA,82,34487,2026-09-13T23:11:22.294194013Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Font Awesome', 'Formidable Pro Form', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'Neighborhoods', 'PHP', 'Perl', 'Pico CSS', 'QUIC', 'Schema Plugin', 'Theme In WP', 'UTF-8', 'UnderStrap', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
