domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
landscapeworldwide.com,"Landscaping, Pool & Snow Removal Directory",LandscapeWorldwide.com,USA,77,60332,2026-09-13T17:14:25.543667548Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'Business Promotion', 'Content Delivery Network', 'Fireblade', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Neighborhoods', 'On The Map', 'PHP', 'Pexels', 'QUIC', 'Tawk', 'Twitter Ads', 'UTF-8', 'YouTube', 'cstate', 'eLand', 'jQuery', 'reCAPTCHA']"
vitobrancato.it,Geom. Vito Brancato,,ITA,50,21563,2026-09-13T17:14:25.52075622Z,"['Apache', 'Apture Linking Platform', 'Azion', 'ClickOn', 'Content Delivery Network', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8']"
boygays.com,Boy Gays,,USA,70,135922,2026-09-13T17:06:33.860337579Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CDN JS', 'Chaturbate', 'Cloudflare', 'Cloudflare CDN', 'Community', 'Content Delivery Network', 'Conviva', 'DoubleClick Bid Manager', 'Exotic Ads', 'Express', 'Fastly', 'Fingerprint Pro', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'NFOrce Internet', 'New Relic', 'No-Q', 'PWA', 'SMC', 'SiteW', 'Storyblocks', 'UTF-8', 'Vimeo', 'reCAPTCHA']"
sunandieldercare.com,Sunandi - Compassionate Elder Care Services,,IND,70,33968,2026-09-13T17:06:33.858926042Z,"['AWS WAF Challenge', 'Apache', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'GZIP Module', 'GetResponse', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'NFOrce Internet', 'QUIC', 'Tailwind CSS', 'Thank You', 'WhatsApp Sharing', 'reCAPTCHA']"
cloudsunnyday.store,Cloudsunnyday,,,52,,2026-09-13T17:06:33.838000637Z,"['Adult Content', 'Apture Linking Platform', 'Content Delivery Network', 'ElementUI', 'Express', 'GZIP Module', 'GetResponse', 'Microdata for Google Shopping', 'Tailwind CSS', 'UTF-8', 'Vue.js', 'jsDelivr']"
mulberrystreetdesign.com.au,Mulberry Street Design,,AUS,55,21851,2026-09-13T17:06:33.834819083Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'Ntent', 'Plausible Analytics', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8']"
brotherbadseed.com,Home,,USA,55,21653,2026-09-13T17:06:33.833640949Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'DAV', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'Plausible Analytics', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8']"
stherapy.eu,S Therapy │ Sexologist │ Luxembourg | Dr. Agnieszka Peczkowska,Online & in-person counselling in a supportive atmosphere.,,92,209649,2026-09-13T16:33:05.669108466Z,"['Apache', 'Apture Linking Platform', 'Cloudflare', 'DAV', 'Ektron', 'Endis', 'Express', 'Font Awesome', 'FreeBSD', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'KeyCDN', 'Microdata for Google Shopping', 'Python', 'Salesforce Hosted', 'Shopware', 'Squarespace Online Appointment Scheduling', 'Subversion', 'UTF-8', 'University or College', 'Vector Internet Services', 'Yandex Hosting', 'symfony PHP Framework']"
vildvelvetvolf.com,Vild Velvet Volf,,PAK,65,70792,2026-09-13T16:10:15.869056465Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8', 'YouTube']"
elele-tiana.com,Elele Tiana,,GBR,65,90263,2026-09-13T16:10:15.854354383Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'Content Delivery Network', 'DAV', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Instagram Follow Button', 'Linktree', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'Paessler', 'Phew', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8', 'YouTube']"
