domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
figglelist.com,"Figglelist - Exclusive Deals, Expert Reviews & Savings Tips",FiggleList,USA,92,24288,2026-09-14T10:58:29.449682055Z,"['Alternate Protocol', 'Automattic', 'BatCache', 'Blocksy', 'Coming Soon Page', 'EmbedPress', 'Express', 'Fastly', 'Fireblade', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Gutenberg', 'Jetpack', 'Jetpack Site Accelerator', 'Kitco', 'LiteSpeed', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'QUIC', 'Sign In With Google', 'Site Kit', 'TranslatePress', 'UTF-8', 'WP Advanced Ads', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
kioskak.com,kioskak,Kioskak,LBN,72,15557,2026-09-14T10:47:02.442851723Z,"['Alternate Protocol', 'Apture Linking Platform', 'Botble', 'Fireblade', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'UTF-8']"
highqualitycandidates.com,SCALIS | Hiring Shouldn't Suck,SCALIS,,67,44583,2026-09-14T10:39:23.74487843Z,"['Accelerated Mobile Pages', 'Akamai Global Host', 'Amazon', 'Beehiiv', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Datadog', 'DoubleClick Bid Manager', 'ElementUI', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Google Tag Manager', 'Intelligems', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Ntent', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube', 'jsDelivr', 'shadcn ui']"
universalnewstoday.in,Universal News Today | Universal News Today,,IND,65,297,2026-09-14T10:28:30.680160363Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Newsmag', 'Newspaper', 'PHP', 'Subversion', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
ekaihsu.org,"Dr. Ekai K Hsu - New York City NY, General Surgery, 244 1st Street",,USA,82,573281,2026-09-14T10:28:30.661896755Z,"['AAPT', 'AJAX Libraries API', 'Adult Content', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Baidu Cloud', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudinary', 'Cornerstone Platform', 'DAV', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Express', 'Facebook Conversion Tracking', 'Facebook Like', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Financial Services Guide', 'Font Awesome', 'FormSubmit', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Healthgrades', 'ID Services', 'IcoMoon', 'Idaq', 'InitiativeS', 'K2F', 'KVH', 'Microdata for Google Shopping', 'Negate', 'No-Q', 'Optimizely Recommendations', 'PHP', 'PWA', 'Perl', 'PowerPC', 'Pressable', 'QUIC', 'Qualtrics Site Intercept', 'SMC', 'Salesforce Audience Studio', 'Schema Plugin', 'Storyblocks', 'Subversion', 'Tailwind CSS', 'Taleo', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'University or College', 'Unix', 'UserZoom', 'Vector Internet Services', 'W3 Total Cache', 'WordPress SEO Structured Data Schema Plugin', 'Yandex Hosting', 'comScore', 'eLand', 'jQuery', 'uPress']"
flavoredfoodandwinefestival.com,FLAVORED Food and Wine Festival – FLAVORED Festival event site.,,,50,1942,2026-09-14T10:15:53.586443177Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'RM Education', 'Slider Revolution', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'shadcn ui']"
angelpublicschool.co.in,Angel Public School | Angel Public School Chhata Mathura,,IND,65,342,2026-09-14T10:15:53.559638624Z,"['Alternate Protocol', 'Bridge', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'LayerSlider Responsive', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
plusdento.com,Plus dento,,,57,,2026-09-14T10:15:53.536705754Z,"['ElementUI', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Adsense', 'Google Analytics', 'Google Conversion Tracking', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'LiteSpeed', 'PWA', 'QUIC', 'Tailwind CSS', 'UTF-8', 'YouTube']"
bytejoyhaven.com.ng,ByteIn Joy,,NGA,65,2539,2026-09-14T09:59:16.028333335Z,"['AJAX Libraries API', 'Apache', 'Font Awesome', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'QUIC', 'Tailwind CSS', 'UTF-8', 'jQuery', 'jsDelivr']"
vendhype.com,VendHype - Buy & Sell Second-Hand Items | Trusted Marketplace,VendHype,DEU,77,32963,2026-09-14T09:48:21.299728489Z,"['3 Products', 'AWS WAF Challenge', 'Adult Content', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Express', 'Fireblade', 'Free Call', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Juicer DMP', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Ntent', 'Parcel', 'Perl', 'QUIC', 'Share Link', 'Sitelinks Search Box', 'Smart App Banner', 'Stripe', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'eLand', 'shadcn ui']"
