domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
royaljawcrusher.com,Crushing Machine Manufacturer | Crusher Machine Manufacturer in Gujarat,Royal Engineering,IND,82,2196,2026-09-13T11:22:15.57392378Z,"['Add to Any', 'Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Visual Composer Ultimate Addons', 'WPBakery', 'WhatsApp Sharing', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Zopim', 'jQuery']"
nasvitime.cz,"Plastic flooring, LED lighting and acoustic wall panels | NASVITIME.CZ – Blansko",,CZE,82,4215,2026-09-13T11:22:15.573359269Z,"['Alibaba Cloud CDN', 'Alternate Protocol', 'Apache', 'Cybot', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'JetElements', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Polylang', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Vue.js', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
novuswebstudio.com,Novus Web Studio,,,67,3320,2026-09-13T11:22:15.573269424Z,"['Astro', 'Better Lead Generation Services', 'Calendly', 'Content Delivery Network', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Heroku', 'Netlify', 'PWA', 'Tailwind CSS', 'UTF-8', 'Web Studio', 'shadcn ui']"
jdrivingschool.com,"J Driving School Milton | MTO Approved | Milton, Oakville, Mississauga and nearby areas",,CAN,82,38993,2026-09-13T11:22:15.573497046Z,"['AWS WAF Challenge', 'Alternate Protocol', 'AutoComplete', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'KVH', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'Ntent', 'PHP', 'QUIC', 'Sign In With Google', 'Tailwind CSS', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
nallikaribb.fi,Oulun ensimmäinen Bakery & Bistro,,,47,60,2026-09-13T11:22:15.572751193Z,"['GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Instagram Follow Button', 'Nginx', 'Tailwind CSS', 'UTF-8']"
homely.mx,Homely - Limpieza profesional,,MEX,72,127257,2026-09-13T11:22:15.570930551Z,"['34SP.com', 'Azion', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Federal Deposit Insurance Corporation', 'Financial Services Guide', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'K2F', 'KVH', 'Netlify', 'Next.js', 'No-Q', 'Ntent', 'Paessler', 'Pleroma', 'RM Education', 'RawGit', 'SMC', 'Subversion', 'Tailwind CSS', 'Typeform', 'UTF-8', 'Visx', 'YouTube']"
nowclinicsa.org,Home - New Opportunities for Wellness Clinic,,USA,80,16766,2026-09-13T11:22:15.56901086Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Font Awesome', 'FooBox', 'Formidable Pro Form', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Meta Slider for WordPress', 'Microdata for Google Shopping', 'PHP', 'TablePress', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'University or College', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
enoughfinancialcoaching.com,"Financial Coaching | Enough Financial Coaching, LLC",Enough Financial Coaching,,72,18148,2026-09-13T11:22:15.569176979Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Creative Mail by Constant Contact', 'EmbedPress', 'Financial Services Guide', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'shadcn ui']"
ingridnixon.com,"Storytelling, Performance - Ingrid Nixon, Storyteller",,,77,25720,2026-09-13T11:22:15.568597526Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'PWA', 'QUIC', 'RM Education', 'UTF-8', 'University or College', 'Wangsu', 'Website Tonight', 'WordPress', 'YouTube']"
ano-phone.com,Secure Encrypted Smartphone + Private VPN - ANO-PHONE,,SGP,75,42564,2026-09-13T11:22:15.568900322Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contento', 'EmbedPress', 'Fireblade', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'LiveChat', 'LiveChat Monitoring', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Subversion', 'Tawk', 'Theme In WP', 'UTF-8', 'WP Super Cache', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
