domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
zanvorin.com,zanvorin.com,,GBR,65,32318,2026-09-13T13:13:26.157921169Z,"['3 Products', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Endis', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Line2', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'Telegram', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'XTemos Studio', 'YouTube', 'jQuery']"
sophiaedisonsmithnotary.com,SME Notary,,USA,82,18824,2026-09-13T13:10:30.493205529Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Subversion', 'UTF-8', 'Unsplash']"
awarenessbeforechange.com,Awareness Before Change,,,72,18120,2026-09-13T13:10:30.493873206Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight']"
vpnbuilders.com,VPN Builders - Custom VPN Setup and Tuning,,,67,18456,2026-09-13T13:10:30.493287673Z,"['Alternate Protocol', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'Essential Grid', 'Fireblade', 'Fontello', 'GDPR Cookie Compliance', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'NFOrce Internet', 'PHP', 'QUIC', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'reCAPTCHA']"
coursefpx.co,Course FPX LLC — Study Platform for FlexPath (FPX) Students,Course FPX LLC,USA,77,2680,2026-09-13T13:10:30.493636849Z,"['Alternate Protocol', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel']"
heartsbyfaith.com,Hearts by Faith,,,62,18312,2026-09-13T13:10:30.492247767Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight']"
zouddha.org,Instant Quantum Shift,,USA,72,66540,2026-09-13T13:10:30.492542861Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'SMC', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube']"
andaquies.com,Alto de los Andaquies - HOTEL,,MEX,70,38208,2026-09-13T13:10:30.49104836Z,"['Angulare', 'Apache', 'Bulma', 'Drata', 'ETranslate', 'GTranslate', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'UTF-8', 'YouTube', 'eLand', 'jQuery']"
addahut.com,Dawaipani Homestay - Best Views & Comfort | Addahut,,IND,82,3368,2026-09-13T13:10:30.491506429Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'Elementor', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Supreme Modules Lite', 'Theme In WP', 'UTF-8', 'Vello', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
scioondigital.com,Scioon Digital - Digital Marketing & Web Development Company,Scioon Digital,IND,77,15040,2026-09-13T13:10:30.49164616Z,"['AWS WAF Challenge', 'Apache', 'Better Lead Generation Services', 'Express', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Ntent', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'jsDelivr', 'shadcn ui']"
gruendler.mur.at,Seppo Gruendler,,SRB,72,2740,2026-09-13T13:10:30.490532362Z,"['Alternate Protocol', 'Apache', 'Automattic', 'Debian', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Hugo', 'Instagram Follow Button', 'Telegram']"
remontlodok.by,"Ремонт и тюнинг надувных лодок из ПВХ и резины, ремонт надувных матрасов любой сложности",,BLR,65,8908,2026-09-13T13:10:30.490920437Z,"['ADFOX', 'AJAX Libraries API', 'GZIP Module', 'Google Cloud DNS', 'IcoMoon', 'Nginx', 'UTF-8', 'Yandex Hosting', 'Yandex Metrika', 'YouTube', 'jQuery']"
aquaengineering.pl,Aqua Engineering | Technologie wodne,,POL,60,50,2026-09-13T13:10:30.489243811Z,"['Alternate Protocol', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'PHP', 'Polylang', 'Responsive', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
bluesky-builder.com,Affordable New Construction Smart Homes in Beaver PA | Blue Sky Builders,,,52,3003,2026-09-13T13:10:30.488646431Z,"['Apache', 'Bulma', 'Coming Soon Page', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Wangsu']"
eliteeventcaterers.co.uk,Elite Event Caterers — London Asian Wedding Caterers,,GBR,72,3440,2026-09-13T13:10:30.488928105Z,"['Better Lead Generation Services', 'Cloudflare', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
bashkiabelsh.al,Kreu • Bashkia Belsh,,,65,29071,2026-09-13T13:10:30.488391878Z,"['AddThis', 'AddThis for Wordpress', 'Alternate Protocol', 'Ametys', 'Apache', 'Automattic', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Ektron', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Jetpack', 'Mesocolumn', 'Microdata for Google Shopping', 'PHP', 'Photo Gallery for WordPress', 'Schema Plugin', 'TablePress', 'Theme In WP', 'UTF-8', 'Ubuntu', 'W3 Total Cache', 'WP Responsive Recent Post Slider', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr']"
omarjee.mu,"OMARJEE Official Website | Sports equipment, Footwear & More",Omarjee,MUS,82,3848,2026-09-13T13:10:30.488753973Z,"['3 Products', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Customer Reviews for WooCommerce', 'Elementor', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'Post Views Counter', 'Smart Slider 3', 'Storefront', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
mainstinns.com,Main Street Inn Bed & Breakfast: Ste Genevieve Missouri,,USA,82,88092,2026-09-13T13:10:30.487783561Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Content Delivery Network', 'Fireblade', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'SMC', 'Tailwind CSS', 'Thank You', 'Think Reservations', 'Twitter Ads', 'UTF-8', 'University or College', 'Vercel', 'eLand', 'shadcn ui']"
altoonatrailridersinc.com,Altoona Trail Riders,,ZAF,72,37812,2026-09-13T13:10:30.486229439Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Line2', 'NFOrce Internet', 'On The Map', 'PWA', 'QUIC', 'UTF-8', 'Wangsu', 'Website Tonight']"
grneyednurse.com,"@grneyed_nurse.sharon | Instagram, TikTok | Beacons",,,62,10294,2026-09-13T13:10:30.485948677Z,"['Alternate Protocol', 'Beacons', 'GZIP Module', 'Giphy', 'Google Cloud', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Perl', 'RM Education', 'Subversion', 'UTF-8', 'Unsplash', 'YouTube']"
