domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
180degreessolar.com,180 Degrees Solar Power Solutions,180 Degrees Solar,USA,82,184224,2026-09-12T23:12:00.6663625Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Better Lead Generation Services', 'Calendly', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GoDaddy', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'PWA', 'Salesforce Hosted', 'UTF-8', 'Wangsu', 'Website Tonight', 'Yelp Badge', 'YouTube']"
blubots.com,BluBots,,,62,40,2026-09-12T23:12:00.666987511Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Tailwind CSS', 'UTF-8', 'jQuery']"
annaparahomestay.com,Annapara Home Stay | A Jungle Retreat | Vythiri | Wayanad Kerala,,IND,82,32113,2026-09-12T23:12:00.666075508Z,"['Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Ntent', 'PHP', 'QUIC', 'Slider Revolution', 'The Events Calendar', 'The Fresh', 'Theme In WP', 'Visual Composer Ultimate Addons', 'WP Fastest Cache', 'WPBakery', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'reCAPTCHA']"
thecodegroup.org,The CODE Group · Communications & Org Development,,,67,19160,2026-09-12T23:12:00.665524208Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
blackmoldtoxicity.com,Black Mold Toxicity: Natural Cure for a Dangerous Condition | BLACK MOLD TOXICITY,,,72,2554,2026-09-12T23:12:00.664903753Z,"['Alternate Protocol', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Pexels', 'Thank You', 'Unsplash', 'Zyro']"
a1electricalpro.com,Electrician in Upland & surrounding areas,,USA,77,33740,2026-09-12T23:12:00.664359072Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
fsc-koulutus.fi,Vuolearning,,,40,11201,2026-09-12T23:12:00.664983973Z,"['Amazon CloudFront', 'Amazon WAF Blocked', 'CloudFront', 'ETranslate', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'GroupMe', 'NFOrce Internet', 'Next.js', 'NextChapter', 'Nginx', 'No-Q', 'QUIC', 'Show.co', 'UTF-8', 'Underscores', 'eLand']"
retronix.co.uk,"Chip Recovery, Reballing, Alloy Conversion & Authenticity Testing",Retronix,,82,22674,2026-09-12T23:12:00.662671Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Max Mega Menu', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'Premium Addons for Elementor', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Fastest Cache', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube']"
renoyardgreetings.com,Reno Yard Greetings - Home,,,62,18840,2026-09-12T23:12:00.662521765Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'PWA', 'QUIC', 'UTF-8', 'Wangsu', 'Website Tonight']"
ligno.group,LIGNO ♦ Wood products,,UKR,72,30572,2026-09-12T23:12:00.66191468Z,"['Alternate Protocol', 'Carpathia Hosting', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'Google Workspace', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'PrestaShop', 'QUIC', 'SmartSupp', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube']"
