domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
optinc.ca,Waste Bin Rentals In Central Alberta | OPT Inc.,Opt Inc.,CAN,92,18844,2026-09-13T17:34:46.836260256Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
wildplanetimages.com,Home - Wild Planet Images,,USA,85,18179,2026-09-13T17:25:09.351352552Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Fastly', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Supreme Modules Lite', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
vigilsroofingca.com,Home - Vigil's Roofing Inc,,USA,75,20184,2026-09-13T17:25:09.351506905Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Aruba', 'Better Lead Generation Services', 'CoBlocks', 'Content Delivery Network', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Fireblade', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'eLand', 'go Theme', 'jQuery']"
16elements.com,16elements - Crypto made simple,16elements,,67,8207,2026-09-13T17:25:09.342761398Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Gravity Forms', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Premium Addons for Elementor', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
councilka.org,Council of Korean Americans (CKA) |,Council of Korean Americans (CKA),USA,77,33468,2026-09-13T17:25:09.340670709Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Contact Form Plugin', 'Custom Facebook Feed', 'DAV', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Gravity Forms', 'HubSpot Conversations', 'Hubspot', 'InitiativeS', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LayerSlider Responsive', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Modern Events Calendar Lite', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Slider Revolution', 'The7', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Visual Composer Ultimate Addons', 'WP Video Lightbox', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
digitalcards.au,Digital Business Cards - Digital Business Cards,Digital Business Cards,,60,1238,2026-09-13T17:25:09.33095451Z,"['AWS WAF Challenge', 'Akismet', 'Alternate Protocol', 'Amazon WAF Blocked', 'Aruba', 'Cloudflare', 'Content Delivery Network', 'Dynamic Visibility for Elementor', 'Elementor', 'EmbedPress', 'Express', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Stripe', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
shantineer.in,"Best Land and Bungalows in Newtown, Kolkata – Shantineer",Shantineer,IND,77,37432,2026-09-13T17:06:33.86567525Z,"['Alternate Protocol', 'Astra Theme', 'CleanTalk Spam Protect', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'LiteSpeed', 'M247', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Royal Elementor Addons', 'Sticky Header Effects for Elementor', 'Theme In WP', 'To Top', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery']"
gregernst.com,Greg Ernst – REALTOR,,PHL,70,18829,2026-09-13T17:06:33.843117606Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gravity', 'Gravity Forms', 'IDX Broker', 'IDXBroker', 'IcoMoon', 'Line2', 'Nectar Slide Plugin', 'PHP', 'QUIC', 'Salient', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
naturesbalanceslc.com,Pest Control Company Near Me | All-natural Exterminator | Pest Control,Natures Balance Pest Control,USA,77,34794,2026-09-13T17:06:33.839431673Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'Elfsight', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Popup Maker for Wordpress', 'QUIC', 'To Top', 'Twenty Twenty-One', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'jQuery', 'reCAPTCHA']"
paradiseadv.com,Paradise Advertising | Home,Paradise Advertising,USA,92,23453,2026-09-13T16:55:32.189553917Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Aruba', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Genesis Blocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ohio Theme', 'PHP', 'Theme In WP', 'UTF-8', 'Vimeo', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'accessiBe', 'eLand', 'jQuery']"
