domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
tnoutdoorsportsman.com,Reel In Excitement With The Best Kentucky Lake Fishing Guide,Tennessee Fishing Excursions,USA,82,50322,2026-09-13T14:43:50.69834535Z,"['AWS WAF Challenge', 'Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Maps', 'Heap', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'YouTube']"
crossskills.in,Cross Skills,Cross Skills,,55,402,2026-09-13T14:36:10.595659539Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Event Tickets for Wordpress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FreeCSSTemplates', 'Getwid Gutenberg Blocks', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'TablePress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
anchorandtrust.com,Anchor & Trust Insurance Group,,USA,75,30781,2026-09-13T14:36:10.556575349Z,"['Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Cloudflare', 'Elementor', 'EmbedPress', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'Jetpack', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Qi Addons For Elementor', 'Telegram', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'jQuery']"
astanzalaser.com,Aesthetic Laser Tattoo Equipment & Laser Hair Removal Solutions,Astanza Laser,USA,82,52200,2026-09-13T14:25:46.172837297Z,"['3 Products', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Breezy HR', 'ClickCease', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Genesis Blocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Hello Elementor', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'JetElements', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'NitroPack', 'Table Addons for Elementor', 'Tailwind CSS', 'To Top', 'TrustIndex', 'UTF-8', 'Underscores', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube']"
mhi.or.tz,Mahdi Health Initiative,,TZA,65,14936,2026-09-13T14:25:46.146703717Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'EmbedPress', 'Fonts Plugin', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'PHP', 'Porto Wordpress', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
mikesshedsstore.com,"Storage Sheds for Sale N. Clarendon, VT | Mikes Shed Store",,,62,25612,2026-09-13T14:12:34.491432127Z,"['1Password', 'Amazon S3 CDN', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Fancybox for WordPress', 'Fireblade', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Storyblocks', 'UTF-8', 'jsDelivr']"
ds3rxsupply.com,New Accounts | DS3 Rx,,USA,67,9889,2026-09-13T14:12:34.487607124Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Microdata for Google Shopping', 'PHP', 'Site Kit', 'ThemeFusion', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'jQuery']"
teamq3adv.com,Roth IRA Conversion Planning | Q3 Advisors,,IMN,87,39198,2026-09-13T14:12:34.47451704Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Hubspot', 'Investor Relations', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'Perl', 'QUIC', 'Sentry', 'Sitelinks Search Box', 'UTF-8', 'WP Engine', 'WP Rocket', 'Wistia', 'WordPress', 'WordPress Multisite', 'YouTube']"
celloreferrals.com,Cello | User-led growth platform for SaaS,Cello,SMR,82,38386,2026-09-13T14:04:43.845030813Z,"['Alternate Protocol', 'Apache', 'Coming Soon Page', 'Contact Form Plugin', 'CookieYes', 'EmbedPress', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'IcoMoon', 'Microdata for Google Shopping', 'PHP', 'PartnerStack', 'Plausible Analytics', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Ultimate Blocks', 'WP Super Cache', 'WordPress', 'WordPress Multisite', 'eLand']"
megr.com,Mainstay Engineering Group | Civil Engineering & Structural Engineering Solutions across all 50 States,"Mainstay Engineering Group, Inc.",,77,121899,2026-09-13T13:50:29.70262895Z,"['AWS WAF Challenge', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Cornerstone', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'UTF-8', 'University or College', 'UpContent', 'Vector Internet Services', 'Wix', 'Wix Media', 'WordPress Related Posts', 'accessiBe', 'mlcom']"
mimstech.com,Engineering Re-imagined | MIMS Tech,,SGP,67,13200,2026-09-13T13:50:29.694510912Z,"['Cloudflare', 'Content Delivery Network', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'Hubspot Knowledge Base', 'UTF-8']"
tangaroablue.org,Tangaroa Blue - Tangaroa Blue Foundation,Tangaroa Blue,AUS,92,53444,2026-09-13T13:39:36.096753621Z,"['AWS WAF Challenge', 'Agoda', 'Alternate Protocol', 'Astra Theme', 'Cloudflare', 'Content Delivery Network', 'Elegant Themes', 'Elementor', 'EmbedPress', 'Fireblade', 'GiveWP', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Lazy Load for WordPress', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Stripe', 'Table Addons for Elementor', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Statistics', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery', 'reCAPTCHA']"
