domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
ebusinesshelper.com,Home » e-Business Helper,e-Business Helper,PAK,82,16795,2026-09-13T19:08:58.964375111Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Click to Chat for WhatsApp', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Express', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'FormSubmit', 'Google My Business', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Metform Elemento', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Slider Revolution', 'Sticky Header Effects for Elementor', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
gregauclair.com,Gregory Auclair,,USA,72,17767,2026-09-13T19:08:58.962734139Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Microdata for Google Shopping', 'Netlify', 'Tailwind CSS', 'UTF-8', 'University or College', 'jQuery']"
lgmediation.com,Me Leanne Greenberg - Mediation | Médiatrice familiale accréditée,,CAN,60,241,2026-09-13T19:08:58.960417729Z,"['Alternate Protocol', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Nginx', 'PHP', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
solarzotechnology.com,"Solarzo Technology | IT Staffing, Design, Development & Maintenance",,IND,77,99,2026-09-13T19:08:58.959847611Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cornerstone', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'LiteSpeed', 'PHP', 'Tailwind CSS', 'UTF-8', 'YouTube', 'jQuery', 'jsDelivr']"
eliteleadsandmarketing.co.uk,Elite Leads & Marketing – Empowering businesses and educational organizations,,,55,196,2026-09-13T19:08:58.959686708Z,"['Alternate Protocol', 'Apache', 'Better Lead Generation Services', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Essential Grid', 'Font Awesome', 'Fontello', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
drshannonthomas.com,Home Page - Dr Shannon Thomas,Dr Shannon Thomas,,65,21906,2026-09-13T19:08:58.958795766Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Free Call', 'Genesis Blocks', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Kitco', 'Microdata for Google Shopping', 'PHP', 'Site Kit', 'Theme In WP', 'UTF-8', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
tinywarriorsfoundation.org,Home | Tiny Warriors Foundation,,,65,955,2026-09-13T19:08:58.957524952Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Automattic', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'GiveForms', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Shipping Rates Calculator', 'Side Cart Woocommerce', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'jsDelivr']"
agtravelandtours.com,A G Travel And Tours – Agtravelandtours.com,,IND,72,3055,2026-09-13T19:08:58.957111148Z,"['Alternate Protocol', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
tech4teaching.net,"Rui's Online Portfolio – Learning with Technology, Instructional Design & Development, Storytelling with Data, and Everything Else…",,,50,298,2026-09-13T19:08:58.957844893Z,"['Alternate Protocol', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'LiteSpeed', 'Neve', 'Otter Blocks', 'PHP', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
artistrybyamanda.co,Artistry By Amanda,,NGA,60,738,2026-09-13T19:08:58.956360488Z,"['3D FlipBook', 'Alternate Protocol', 'Contact Form Plugin', 'Custom Twitter Feeds', 'Elementor', 'EmbedPress', 'Express', 'Font Awesome', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Qi Addons For Elementor', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
