domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
suradgroup.net,Surad Group – Surad Group,,,60,8260,2026-09-12T23:23:03.760012202Z,"['Alternate Protocol', 'Column Shortcodes', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Fireblade', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Kriesi.at', 'LiteSpeed', 'NFOrce Internet', 'Premium Addons for Elementor', 'QUIC', 'UTF-8', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
sibbutibbu.com,Best Kids Clothes & Toys Store Online | SibbuTibbu,Sibbu Tibbu,IND,82,24028,2026-09-12T23:23:03.758530328Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'ElementUI', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gtranslate for Wordpress', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NitroPack', 'PHP', 'Sitelinks Search Box', 'TI WooCommerce Wishlist', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jsDelivr']"
quiktherm.com,Quik-Therm: High-Performance EPS Rigid Foam Insulation Systems,,CAN,82,9448,2026-09-12T23:23:03.758036774Z,"['Agoda', 'Alternate Protocol', 'Apture Linking Platform', 'Bulma', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'QUIC', 'QUIC.cloud', 'RM Education', 'Schema Plugin', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
learntuesday.com,Let's Talk Tuesday - GTDS LLC,,,57,515,2026-09-12T23:23:03.757860378Z,"['Alternate Protocol', 'CleanTalk Spam Protect', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
iptelephonesystem.ae,IP Telephony Solutions in Dubai UAE | IP & Analog Dubai | IP Phone,,,72,23486,2026-09-12T23:23:03.755470744Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'ContentBox', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'QuadLayers', 'Site Kit', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
leonclinicaveterinaria.mx,LEÓN - Clínica Veterinaria | Veterinary Clinic in Rosarito,,MEX,67,3594,2026-09-12T23:23:03.755822895Z,"['Alternate Protocol', 'Apture Linking Platform', 'Elementor', 'Elfsight', 'EmbedPress', 'Genius Link', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'SuperPWA', 'Twenty Twenty-Two', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'jQuery']"
daviddube.net,David Dube Digital Profile,,,47,359,2026-09-12T23:23:03.739036759Z,"['AWS WAF Challenge', 'DAV', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'LiteSpeed', 'PHP', 'QUIC', 'UTF-8']"
anpinsandgifts.com,PinsandGifts,,GUY,65,54727,2026-09-12T23:23:03.738095069Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'Blocksy', 'Business Promotion', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'GoDaddy', 'Google', 'Google Maps', 'Google My Business', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Theme In WP', 'UTF-8', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
revivalhospital.com,Revival Hospital - Bone & Joint Hospital in Mumbai Maharashtra,Revival,IND,77,1416,2026-09-12T23:23:03.734238593Z,"['Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'EmbedPress', 'Enjoi', 'Essential Grid', 'Fontello', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP GDPR Compliance', 'WPBakery', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
qookingtable.life,Qookingtable: Teppanyaki Grill with 3 different heat zones,Qookingtable Teppanyaki,USA,82,17698,2026-09-12T23:23:03.734615401Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Download Monitor', 'EmbedPress', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Slide Anything', 'Slider Revolution', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
