domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
louisemisellinteriors.co.uk,Exciting interior design for a home you'll fall in love with | Louise Misell Interiors,,GBR,77,15339,2026-09-13T17:06:33.887314391Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Clarity', 'QUIC', 'Schema Plugin', 'Stripe', 'UTF-8']"
mindfulmusicpedagogy.com,Mindful Music Pedagogy,,,65,16768,2026-09-13T17:06:33.886513323Z,"['Adobe Creative Cloud WebFonts', 'Apple Auto Link Maker', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Express', 'Fireblade', 'FormSubmit', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Line2', 'MailChimp', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'Tailwind CSS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
413property.com.au,Home - 413 Property,,AUS,72,7992,2026-09-13T17:06:33.84825849Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'PHP', 'Rate my Post', 'Sitelinks Search Box', 'UTF-8', 'Vector Internet Services', 'WP Responsive Menu', 'WordPress', 'WordPress Multisite']"
limrafoundation.in,Home - limrafoundation.in,limrafoundation.in,IND,75,3836,2026-09-13T17:06:33.841425578Z,"['Adult Content', 'Alternate Protocol', 'Better Lead Generation Services', 'Contact Form Plugin', 'Content Delivery Network', 'Easy Pie Chart', 'EmbedPress', 'Facebook Embedded Posts', 'Fastly', 'GiveWP', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Feed for WordPress', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'PHP', 'PixelYourSite', 'QUIC', 'Sitelinks Search Box', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YITH WooCommerce Compare', 'jQuery']"
creativefeeldesigns.com,Modern Calligraphy Courses and Resources,Creative Feel Designs,GBR,87,4672,2026-09-13T17:06:33.823781636Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'MailChimp', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'Squarespace', 'Subversion', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
phenomenalviborg.com,Phenomenal Viborg – Oplev Fremtiden,,,50,2459,2026-09-13T16:55:32.196016873Z,"['Alternate Protocol', 'Apache', 'Cisco/Arrowpoint Content Service Switch', 'CoBlocks', 'CookieYes', 'Corporate Governance and Regulatory Compliance', 'Embed Any Document', 'EmbedPress', 'Flexy Breadcrumb', 'GZIP Module', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'MailChimp', 'MailPoet', 'Notion', 'PHP', 'Theme In WP', 'TranslatePress', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Fastest Cache', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
seechangemedia.org,See Change | Activating the public to scale up the implementation of climate solutions,See Change,,72,35597,2026-09-13T16:42:26.774476285Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'Fireblade', 'GenerateBlocks', 'GeneratePress Company', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LiteSpeed', 'MailChimp', 'Microdata for Google Shopping', 'Sitelinks Search Box', 'Thank You', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
bestlomboktravel.com,BEST LOMBOK TRAVEL,,USA,65,20550,2026-09-13T16:42:26.758116327Z,"['Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Express', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Icons8', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Ntent', 'PHP', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery']"
medathewateredge.in,Meda The Water Edge - Sarjapur Road,,IND,87,21577,2026-09-13T16:33:05.687592032Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Houzez', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'Oddle', 'PHP', 'Poptin', 'Site Kit', 'Sitelinks Search Box', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
hygea-intensivpflege.de,Home - Hygea Intensivpflege GmbH,Hygea Intensivpflege GmbH - Ihr Ambulante Intensivpflegedienst - Außerklinische Beatmung in Essen - Mülheim an der Ruhr - Hattingen – Bottrop – Oberhausen – Duisburg – Bochum – Gelsenkirschen.,,65,49108,2026-09-13T16:22:19.54676302Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Cloudflare', 'Cloudflare CDN', 'CoBlocks', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'IcoMoon', 'Instagram Feed for WordPress', 'Kitco', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'QUIC', 'Site Kit', 'Slider Revolution', 'Theme In WP', 'TrustIndex', 'UTF-8', 'Vector Internet Services', 'Wangsu', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
