domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
gardnerrotary.org,Home Page | Rotary Club of Gardner,,,60,316,2026-09-13T13:10:30.48519418Z,"['Apture Linking Platform', 'AutoComplete', 'Bulma', 'Cloudflare', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Tag Manager', 'IcoMoon', 'Microsoft Application Insights', 'Microsoft Azure Blob Storage', 'Perl', 'Subversion']"
hillmanfunds.com,Home | Hillman Capital Management,,,55,282,2026-09-13T13:10:30.477613119Z,"['Adobe Creative Cloud WebFonts', 'Financial Industry Regulatory Authority', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'Microsoft IIS', 'Tailwind CSS', 'Visual Studio']"
facadeinnovations.com.au,Facade Innovations | Commercial Facade Solutions | Australia Wide,,AUS,60,269,2026-09-13T13:10:30.473207162Z,"['Alternate Protocol', 'Contact Form Plugin', 'Easy Fancybox', 'EmbedPress', 'HostGator', 'Jetpack', 'Microsoft Azure', 'Microsoft IIS', 'PHP', 'Parallels Plesk Panel', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'WordPress', 'WordPress Multisite', 'jQuery', 'jQuery Pin It Button for Images']"
highsteele.com,High Steele Fencing | Pensacola and Pace Florida Locations,,,67,20439,2026-09-13T13:10:30.472550042Z,"['Adult Content', 'Better Lead Generation Services', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Microsoft Azure', 'Microsoft IIS', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'jsDelivr']"
derwick.co.uk,Welcome To Derwick Ltd : Derwick Ltd,,GBR,57,72,2026-09-13T12:59:13.664169958Z,"['BunnyCDN Header', 'Content Delivery Network', 'Google Analytics', 'Microsoft Azure', 'Nginx', 'UTF-8', 'Visual Studio']"
outboundlabsintel.com,Home | OutboundLabs,,USA,60,391,2026-09-13T12:59:13.657920776Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'Animate It', 'Calendly', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microsoft Azure Blob Storage', 'QUIC', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow']"
plumcreekguitar.com,Plum Creek Guitar - Home,,USA,57,120,2026-09-13T12:59:13.643849199Z,"['Calendly', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Customer Reviews', 'Google Tag Manager', 'Microsoft Azure', 'Microsoft IIS', 'Perl', 'QUIC', 'Thank You', 'UTF-8', 'University or College', 'Visual Studio', 'shadcn ui']"
justlikemom.org,Just Like Mom - Family Child Care,,,52,240,2026-09-13T12:59:13.639048688Z,"['Google Analytics', 'HostGator', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'Schema Plugin', 'Tailwind CSS', 'Visual Studio']"
salvins.com,Salvins - Insurance & Claims Consultants,,,50,7899,2026-09-13T12:59:13.608619371Z,"['Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'HostGator', 'IcoMoon', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'Visual Studio']"
pdptax.com,PDP Tax Service,,,52,480,2026-09-13T12:45:57.577960145Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'HostGator', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'StackPath', 'Visual Studio']"
kabe-mattan.com,Entrémattor och skrapgaller | Kåbe-Mattan sedan 1944,,ZAF,82,3565,2026-09-13T12:45:57.576396269Z,"['Alternate Protocol', 'Cloudflare', 'Cybot', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Microsoft Azure', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Visual Studio']"
rotaryofhicksvillesouth.com,Home Page | Rotary Club of Hicksville South,,USA,70,20668,2026-09-13T12:25:24.051840338Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'AutoComplete', 'Cloudflare', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Microsoft Application Insights', 'Microsoft Azure Blob Storage', 'Perl', 'YouTube', 'reCAPTCHA']"
camarillorotary.org,Home Page | Rotary Club of Camarillo,,USA,82,5188,2026-09-13T12:25:24.039632622Z,"['Apture Linking Platform', 'AutoComplete', 'Cloudflare', 'DAV', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Microsoft Application Insights', 'Microsoft Azure Blob Storage', 'Perl', 'Tailwind CSS']"
bishopthorpe-bc.co.uk,"BISHOPTHORPE BOWLING CLUB, Bishopthorpe, York",,,67,20380,2026-09-13T12:03:18.609596249Z,"['AJAX Libraries API', 'Angular', 'AutoComplete', 'Corporate Governance and Regulatory Compliance', 'Endis', 'FastClick', 'Fingerprint Pro', 'Foundation', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Microsoft Azure', 'Microsoft IIS', 'Tailwind CSS', 'Twitter Ads', 'Visual Studio', 'jQuery']"
squareproperties.co.uk,SquareProperties.Co.Uk - Under Construction,,,35,402,2026-09-13T12:03:18.578453334Z,"['Coming Soon Page', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'HostGator', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'Tailwind CSS', 'Thank You', 'Visual Studio', 'jsDelivr']"
cliffeandcliffewoods-pc.gov.uk,"Cliffe and Cliffe Woods Parish Council, Cliffe Woods, Rochester",,,62,5380,2026-09-13T12:03:18.565856748Z,"['AJAX Libraries API', 'Angular', 'AutoComplete', 'Corporate Governance and Regulatory Compliance', 'FastClick', 'Fingerprint Pro', 'Foundation', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Microsoft Azure', 'Microsoft IIS', 'Tailwind CSS', 'Twitter Ads', 'Visual Studio', 'jQuery']"
carpinteriarotary.org,Home Page | Rotary Club of Carpinteria,,,72,4468,2026-09-13T12:03:18.560412828Z,"['Apture Linking Platform', 'AutoComplete', 'Bulma', 'Cloudflare', 'DAV', 'Facebook Like', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Microsoft Application Insights', 'Microsoft Azure Blob Storage', 'Perl', 'Tailwind CSS', 'Zeffy']"
amourion.qa,Best Tutoring Centre in Qatar | Best Tutoring Websites in Doha,amourion.qa,QAT,82,29360,2026-09-13T12:03:18.532200588Z,"['AWS WAF Challenge', 'BLR', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'HostGator', 'Instagram Follow Button', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'QUIC', 'Tailwind CSS', 'Tumblr', 'UTF-8', 'University or College', 'Visual Studio', 'YouTube', 'jQuery']"
dowlisusa.com,Home - Dowlis Inspired Branding Inc.,,USA,72,51669,2026-09-13T11:49:23.039024281Z,"['501c3 Status Nonprofit', 'AJAX Libraries API', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Azure Edge', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'CookieConsent', 'DAV', 'DoubleClick Bid Manager', 'Fastly', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Tag Manager', 'IcoMoon', 'K2F', 'Line2', 'Microsoft Azure', 'No-Q', 'QUIC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'Umbler', 'Visual Studio']"
ixax.com,ixax.com domain name may be for sale,,,62,19399,2026-09-13T11:49:23.020726822Z,"['AWS WAF Challenge', 'ArvanCloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'OpenResty', 'Tailwind CSS', 'UTF-8', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
needhamrotaryclub.org,Home Page | Rotary Club of Needham,,GBR,75,4468,2026-09-13T11:42:40.269294746Z,"['Apture Linking Platform', 'AutoComplete', 'Bulma', 'Cloudflare', 'DAV', 'Facebook Like', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Application Insights', 'Microsoft Azure Blob Storage', 'Perl']"
thehomebizteam.com,TheHomeBizCommunity.com - Your Trusted Source for Affiliate Marketing Training and Traffic Generation,,,67,6039,2026-09-13T11:22:15.565955337Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Community', 'Font Awesome', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Pico CSS', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'YouTube', 'shadcn ui']"
wtga.us,WTGA - WATERTODAY GEORGIA,,USA,77,20640,2026-09-13T11:22:15.56143091Z,"['AWS WAF Challenge', 'DAV', 'Ethy', 'Express', 'Google Analytics', 'Google Tag Manager', 'Investor Relations', 'Microsoft Azure', 'Microsoft IIS', 'NFOrce Internet', 'Visual Studio']"
rotarykapiti.club,Home Page | The Rotary Club of Kapiti,,NZL,70,4718,2026-09-13T11:22:15.554357536Z,"['Apture Linking Platform', 'AutoComplete', 'Bulma', 'Cloudflare', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Tag Manager', 'IcoMoon', 'Microsoft Application Insights', 'Microsoft Azure Blob Storage', 'Perl', 'Vello']"
dream.co.in,Dream.co.in,,,47,734,2026-09-13T11:22:15.51964015Z,"['AWS WAF Challenge', 'ArvanCloud', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'OpenResty', 'StackPath', 'UTF-8', 'jsDelivr']"
pompomgolf.com,PomPomGolf.com domain name may be for sale,,,42,734,2026-09-13T11:11:21.341959932Z,"['AWS WAF Challenge', 'ArvanCloud', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'OpenResty', 'StackPath', 'UTF-8', 'jsDelivr']"
baliongreens.com,Balion Greens Pvt. Ltd.,,IND,77,13748,2026-09-13T11:11:21.339994781Z,"['Fastly CDN', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'HostGator', 'IcoMoon', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'Tailwind CSS', 'Visual Studio']"
designsbylisa-mn.com,Designs by Lisa Event Rentals - Decorating your dream event,,USA,57,60,2026-09-13T11:11:21.319687579Z,"['Content Delivery Network', 'GZIP Module', 'Microsoft Azure', 'Microsoft IIS', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'jQuery']"
highlinegrain.com,"HighLine Grain Growers, Inc",,FRA,70,73381,2026-09-13T11:11:21.316066652Z,"['123FormBuilder', 'AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Apple Auto Link Maker', 'AutoComplete', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Facebook Login', 'Facebook Reseller', 'Fastly', 'Font Awesome', 'Google', 'Google Analytics', 'Google Calendar', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Play', 'Google Reseller', 'Google Tag Manager', 'MailChimp', 'Microsoft 365', 'Microsoft Azure', 'No-Q', 'RM Education', 'SAS', 'Sentry', 'Tabs Responsive', 'Twitter Ads', 'Typeform', 'UTF-8', 'Vimeo', 'Visual Studio', 'Wistia', 'YouTube', 'amCharts', 'eLand', 'jQuery', 'taggbox']"
mngyc.com,Minnesota National Guard Youth Camp,,USA,67,2980,2026-09-13T11:11:21.315447739Z,"['Content Delivery Network', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Microsoft Azure', 'Microsoft IIS', 'UTF-8', 'University or College', 'Visual Studio', 'jQuery']"
bedfordunderwriters.com,Bedford Underwriters,,,57,135,2026-09-13T11:11:21.305165905Z,"['AJAX Libraries API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Tag Manager', 'ISO/IEC 8859', 'Microsoft Azure', 'Microsoft IIS', 'SiteW', 'Twitter Ads', 'Visual Studio', 'Write.as', 'jQuery']"
robbscustomwoodworking.com,Robb's Custom Woodworking,,,37,60,2026-09-13T10:58:09.062503756Z,"['Content Delivery Network', 'GZIP Module', 'Microsoft Azure', 'Microsoft IIS', 'UTF-8', 'Visual Studio', 'jQuery']"
