domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
innoscience.com.br,"Innoscience – Innoscience é uma consultoria de inovação corporativa que aporta experiência, método, conhecimento e conexão para apoiar grandes empresas a gerar resultados",,BRA,65,22917,2026-09-13T23:20:49.404854767Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'GTranslate', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Menu Icons by ThemeIsle', 'Nginx', 'PHP', 'RD Station', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
norfolkairportservices.com,"Norfolk Airport Services - Norfolk, Nebraska",Norfolk Airport Services,USA,72,5188,2026-09-13T23:20:49.401523441Z,"['Alternate Protocol', 'Elementor', 'EmbedPress', 'Fastly', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Harbor', 'KeyCDN', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'TablePress', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
lemessagerpala.org,staging_lemessagerpala_org,,,50,208,2026-09-13T23:20:49.391744541Z,"['Alternate Protocol', 'EmbedPress', 'Nginx', 'Otter Blocks', 'SuperbThemes', 'UTF-8', 'WordPress', 'WordPress Multisite']"
maradjfitten.hu,A tárhely tulajdonosa még nem töltötte fel a honlap tartalmát,,HUN,50,,2026-09-13T23:20:49.391380423Z,"['Blue Box Group', 'Nginx']"
norsaac.org,Home - Norsaac,,GHA,70,93808,2026-09-13T23:20:49.391156997Z,"['Adult Content', 'Alternate Protocol', 'CanvasJS', 'Cart.com', 'Contact Form Plugin', 'Custom Facebook Feed', 'Custom Twitter Feeds', 'EmbedPress', 'Event Tickets for Wordpress', 'Fireblade', 'Font Awesome', 'Fontello', 'GiveWP', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LayerSlider Responsive', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perl', 'QUIC', 'Recart', 'Slider Revolution', 'Team Members', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Job Openings', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
rajputresort.com,"Rajput Resort | Shivpuri road, raksha, Jhansi, Uttar Pradesh - 284419 INDIA",,IND,77,508,2026-09-13T23:20:49.391845813Z,"['Facebook Embedded Posts', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Nginx', 'QUIC', 'Tailwind CSS', 'jQuery']"
brantleymortgageteam.com,"Home Loan Expert | Brantley Mortgage Team | Mustang, OK",Brantley Mortgage Team,,82,10373,2026-09-13T23:20:49.390884886Z,"['Alternate Protocol', 'Baidu Cloud', 'BatCache', 'Coming Soon Page', 'Divi', 'Duoban', 'Elegant Themes', 'EmbedPress', 'Express', 'Fastly', 'Google My Business', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Linktree', 'Loomly', 'Microdata for Google Shopping', 'Nginx', 'Ntent', 'PHP', 'Q2W3 Fixed Widget', 'QUIC', 'Theme In WP', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'jQuery', 'reCAPTCHA']"
silvia.is,Home - Silvia Venditti,Silvia Venditti,SWE,60,123,2026-09-13T23:20:49.388696923Z,"['Alternate Protocol', 'Animate It', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Jetpack', 'Microdata for Google Shopping', 'MonsterInsights', 'Nectar Slide Plugin', 'Nginx', 'PHP', 'Post Grid', 'QUIC', 'Salient', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
neuric.in,"neuric – Cultural Roots, Global Appeal",,IND,55,503,2026-09-13T23:20:49.386342809Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Instagram Follow Button', 'NFOrce Internet', 'Nginx', 'Popup Maker for Wordpress', 'QUIC', 'Table Addons for Elementor', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
kumu.la,Kumu,,MEX,60,1323,2026-09-13T23:20:49.380170649Z,"['Amazon', 'ElementUI', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'YouTube', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
