domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
visualstrategist.co.za,Pauline Visual Strategist,,ZAF,70,33740,2026-09-13T19:00:39.957425857Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Perl', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
primalcut.com.au,Concrete Cutting Sydney | Expert Concrete Cutting & Drilling Services | Primal Cut and Core,,AUS,77,18740,2026-09-13T19:00:39.944772836Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'UTF-8']"
tavoroofingllc.com,Indiana's Apex of Architectural Excellence,,USA,77,4123,2026-09-13T19:00:39.939787217Z,"['Alternate Protocol', 'Authorize.net', 'Content Delivery Network', 'Content ad', 'Cornerstone', 'Express', 'Fancybox for WordPress', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Nuxt.js', 'UTF-8', 'Unsplash', 'Vimeo']"
christianentrepreneurclub.org,An Exclusive Community For Christian Business Owners,,USA,87,26340,2026-09-13T18:50:18.915814416Z,"['Alternate Protocol', 'Authorize.net', 'ByteDance', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Clarity', 'Nuxt.js', 'RM Education', 'Subversion', 'UTF-8', 'shadcn ui']"
hernansias.com,Business Bros Booking,,,67,22304,2026-09-13T18:50:18.906399393Z,"['Adult Content', 'Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'HighLevel', 'Nuxt.js', 'Thank You', 'UTF-8', 'YouTube']"
kingdomwealthco.com,Digital Wealth Academy with Master Resell Rights,,,67,63740,2026-09-13T18:50:18.903489008Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'K2F', 'KVH', 'Nuxt.js', 'QUIC', 'UTF-8']"
treeoflifepremier.com,Home | Tree of Life Premier Services,,USA,77,3740,2026-09-13T18:50:18.873763108Z,"['Alternate Protocol', 'Authorize.net', 'Content Delivery Network', 'Express', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'UTF-8']"
nysoundproofing.site,New York Soundproofing,,USA,77,33740,2026-09-13T18:36:28.887249231Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'YouTube']"
focalpointcoachingclearwaterfl.com,Certified Business & Executive Coach | Focal Point Clearwater FL,,USA,77,41616,2026-09-13T18:36:28.865649823Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Calendly', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'RM Education', 'TermsFeed', 'UTF-8', 'Unsplash', 'jsDelivr']"
townhomesinschomberg.com,Townmanors of Brownsville By Sunny Developments,,CAN,77,33779,2026-09-13T18:36:28.863141194Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Nuxt.js', 'Tailwind CSS', 'Thank You', 'UTF-8']"
stalks-stemsllc.com,My Website,,,45,510,2026-09-13T18:29:14.876204083Z,"['BrandCrowd Website Builder', 'CoreUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'Twitter Ads', 'UTF-8', 'Unsplash']"
codexsupport.com,Saas and AI for Accountants,,,55,10271,2026-09-13T18:29:14.8424146Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'JotForm', 'Nuxt.js', 'QUIC', 'RM Education', 'UTF-8', 'shadcn ui']"
kdp-plumbing.com,KDP Plumbing,,USA,72,18740,2026-09-13T18:29:14.841828638Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Bing Cashback', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'QUIC', 'Tailwind CSS', 'UTF-8']"
reyoutuber.com,Real Estate YouTuber Course,,,62,18779,2026-09-13T18:29:14.840578625Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
themauibook.com,Sound The Alarm,,GBR,72,18740,2026-09-13T18:29:14.83737654Z,"['Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Ntent', 'Nuxt.js', 'UTF-8']"
wylewkiartklon.pl,Wylewki art-klon,,POL,62,25000,2026-09-13T18:29:14.82011052Z,"['Ektron', 'Google My Business', 'LiteSpeed', 'Nuxt.js', 'YouTube']"
ishabanov.com,Ilya Shabanov - Back-End Engineer - Home,,,72,15000,2026-09-13T18:18:06.969207109Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Nuxt.js', 'PHP', 'Tailwind CSS', 'Telegram', 'UTF-8']"
healthovators.com,HealthOvators,,GBR,77,38740,2026-09-13T18:18:06.956240053Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Express', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Tailwind CSS', 'UTF-8']"
blessingmethodcrm.com,Your Beauty Biz Hub,,GBR,72,26340,2026-09-13T18:07:16.141795131Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'RM Education', 'UTF-8']"
patriotbumperrepair.com,Auto Bumper Repair | Patriot Bumper Repair | Bumper Dent Repair,,USA,87,68740,2026-09-13T18:07:16.122544154Z,"['Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'QUIC', 'SMC', 'UTF-8', 'Yelp Badge']"
otnailsstjohn.com,"OT Nails in St John, Indiana",,,67,760,2026-09-13T18:07:16.116826187Z,"['Cloudflare', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nuxt.js', 'Schema Plugin', 'UTF-8', 'Uponit', 'shadcn ui']"
oasisnailbarcypresstx.com,Oasis Nail Bar,,,47,3,2026-09-13T18:07:16.116764714Z,"['Cloudflare', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Neighborhoods', 'Nuxt.js', 'Schema Plugin', 'UTF-8']"
bavithdigital.com,Bavithdigital,,FRA,62,2847,2026-09-13T18:07:16.115602181Z,"['BrandCrowd Website Builder', 'CoreUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'UTF-8', 'YouTube']"
southerntelecom.net,My Website,,,45,354,2026-09-13T17:57:48.39283667Z,"['BrandCrowd Website Builder', 'CoreUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'UTF-8', 'Unsplash']"
thepolishloungedavie.com,Nail salon | The Polish Lounge Davie | Davie,,USA,67,90120,2026-09-13T17:57:48.387866624Z,"['Cloudflare', 'DAV', 'Financial Services Guide', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'K2F', 'Microdata for Google Shopping', 'No-Q', 'Nuxt.js', 'Phew', 'SMC', 'Schema Plugin', 'Silicon Valley Web Hosting', 'Square', 'Tailwind CSS', 'UTF-8', 'Vello']"
voteaquino.com,Henry Aquino for Hawaii State Senate,,,57,463,2026-09-13T17:57:48.381108896Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'UTF-8']"
atxcustomremodel.com,"ATX Custom Remodel - Cedar Park, Round Rock, Leander, Georgetown",,USA,87,23740,2026-09-13T17:57:48.379247372Z,"['Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FreePrivacyPolicy.com', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nuxt.js', 'UTF-8']"
chloecummingsphotography.com,Chloe Cummings Photography,,,62,3740,2026-09-13T17:57:48.35967981Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Ntent', 'Nuxt.js', 'QUIC', 'UTF-8']"
beautyincolor.net,African Futurism Inspired Fine Art Photography | Beauty In Color,,,67,33740,2026-09-13T17:57:48.348478328Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Tag Manager', 'Nuxt.js', 'UTF-8', 'shadcn ui']"
pensold.at,My Link in Bio,,,40,270,2026-09-13T17:46:29.588232112Z,"['BrandCrowd Website Builder', 'CoreUI', 'DAV', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'Telegram', 'Twitter Ads', 'UTF-8']"
montrealhomesevaluation.com,Remax Montreal Homes Condos Evaluation Estimation Montreal Houses Free remax-quebec.com,,CAN,77,58740,2026-09-13T17:46:29.579277636Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Customer Reviews', 'Google Font API', 'Investor Relations', 'K2F', 'Nuxt.js', 'Perl', 'QUIC', 'Tailwind CSS', 'UTF-8', 'YouTube']"
agentbunny.com,Exchange-Based Health Insurance and Medicare Services Provider,,USA,77,18740,2026-09-13T17:46:29.568606456Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'UTF-8', 'YouTube']"
flickerofhope.ca,Flicker of Hope - Jennifer Gibb,,,77,33824,2026-09-13T17:46:29.56449307Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Authorize.net', 'Bunny Fonts', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Instagram Follow Button', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'Unsplash']"
enerevenergy.com,ENEREV,,USA,72,3740,2026-09-13T17:46:29.5440472Z,"['Alternate Protocol', 'Authorize.net', 'Content Delivery Network', 'Financial Services Guide', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Ntent', 'Nuxt.js', 'QUIC', 'UTF-8']"
sunterraspain.com,Vi hjelper deg hele veien | Spanias ledende norske… | Spaniamegler1,,NOR,62,869,2026-09-13T17:34:46.868914059Z,"['Adult Content', 'Alternate Protocol', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'shadcn ui']"
