domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
hnh-restoration.com,"Certified Emergency Disaster Recovery, Flood & Water Damage Restoration & Cleanup Services For Home, Mold Remediation & Removal Company Lewisville & Carrollton TX - Hands & Hammers Restoration Services",Hands & Hammers Restoration Services,USA,87,13930,2026-09-13T23:20:49.371124381Z,"['Alternate Protocol', 'Baidu Cloud', 'BatCache', 'Content Delivery Network', 'CrazyEgg', 'Divi', 'Duoban', 'Elegant Themes', 'EmbedPress', 'Express', 'Fastly', 'Flying Pages by WP Speed Matters', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Loomly', 'Microdata for Google Shopping', 'Ntent', 'OpenResty', 'PHP', 'QUIC', 'Site Kit', 'Theme In WP', 'TrustIndex', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'eLand', 'jQuery', 'reCAPTCHA']"
andrewseats.com,Front Page - Andrew's Eats,Andrew's Eats,,72,3945,2026-09-13T23:20:49.370358808Z,"['Alternate Protocol', 'BatCache', 'Colibri', 'Custom Facebook Feed', 'Custom Twitter Feeds', 'EmbedPress', 'Fastly', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Icons8', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'OpenResty', 'PHP', 'Pleroma', 'Sitelinks Search Box', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'shadcn ui']"
apptimism.tech,Apptimism — Advertising and monetization platform powered by an alliance of mobile publishers,,,62,,2026-09-13T23:20:49.358037771Z,"['GZIP Module', 'OpenResty', 'UTF-8', 'jQuery']"
dpfko.sk,Čistenie DPF/FAP filtrov a katalyzátorov / Celé Slovensko / Na počkanie,,SVK,82,26016,2026-09-13T23:11:22.269013447Z,"['Alternate Protocol', 'Cloudflare', 'Cookie Accept', 'Cookie Notice', 'Ektron', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'OpenResty', 'PHP', 'Sitelinks Search Box', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPBakery', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
waesche-abwurf.ch,Central Clean,,CHE,45,10600,2026-09-13T23:11:22.267246051Z,"['Content Delivery Network', 'Contento', 'Fastly', 'GZIP Module', 'OpenResty', 'UTF-8', 'YouTube']"
hw-foto.at,Hannes Wagner Photography,,,40,25600,2026-09-13T23:11:22.262611216Z,"['Content Delivery Network', 'Contento', 'Fastly', 'GZIP Module', 'OpenResty', 'SMC', 'UTF-8']"
marketingtool.pro,AI Marketing OS for Google & Meta Ads | MarketingTool.Pro,MarketingTool,IND,82,819,2026-09-13T23:00:37.197216904Z,"['App Store', 'Create React App', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'OpenResty', 'Pleroma', 'Privacy Policy Generator', 'QUIC', 'Tailwind CSS', 'UTF-8', 'YouTube', 'jQuery']"
romanempiretimes.com,Roman Empire Times,,,67,20138,2026-09-13T22:42:43.539070986Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'ArvanCloud', 'Bunny Fonts', 'Content Delivery Network', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Funding Choices', 'GZIP Module', 'Ghost', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OneSignal', 'OpenResty', 'Stripe', 'Tally', 'UTF-8', 'YouTube', 'jsDelivr']"
lydialuxebeautyco.com,Home - Lydia Luxe Beauty,Lydia Luxe Beauty,,62,5081,2026-09-13T22:42:43.480878089Z,"['Alternate Protocol', 'Astra Theme', 'Elementor', 'EmbedPress', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Header, Footer and Blocks for Elementor', 'Microdata for Google Shopping', 'NFOrce Internet', 'OpenResty', 'PHP', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
phoenixfireit.com,"Phoenix Fire Technology | IT, Software & Web Solutions",Phoenix Fire Technology LLC,USA,67,2440,2026-09-13T22:28:42.484926879Z,"['GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'OpenResty', 'Tailwind CSS']"
mparchitects.vn,MP Architects - Green Architecture and Design,,THA,72,2388,2026-09-13T22:28:42.479264096Z,"['Content Delivery Network', 'GZIP Module', 'Google My Business', 'Harafunnel', 'Haravan', 'OpenResty', 'QUIC', 'Tailwind CSS', 'UTF-8', 'jQuery', 'reCAPTCHA']"
hopeonthehorizontx.com,"Hope on the Horizon Therapy | Counseling in Cypress, TX",,USA,72,,2026-09-13T22:28:42.459398738Z,"['GZIP Module', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OpenResty']"
