domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
compcancercare.org,Home - Complementary Cancer Care,Complementary Cancer Care,USA,85,19451,2026-09-14T10:28:30.657730407Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Cloudflare', 'CoBlocks', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Events Manager for WordPress', 'Express', 'Formidable Pro Form', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Kahuna', 'Microdata for Google Shopping', 'PHP', 'PayPal Adaptive Payments', 'Schema Plugin', 'Shortcodes Ultimate', 'Thank You', 'Theme In WP', 'UTF-8', 'User.com', 'Wangsu', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
karinaskye.com,Karina Skye Music & Yoga,,,67,33312,2026-09-14T10:15:53.599737105Z,"['AWS WAF Challenge', 'Amazon Widgets', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'PWA', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'UTF-8', 'Wangsu', 'Website Tonight', 'YouTube']"
shirtex.net,Shirtex,,,42,1407,2026-09-14T10:15:53.570210642Z,"['Amazon', 'Apture Linking Platform', 'AutoComplete', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'License Buttons', 'Material Design Icons', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'PayPal', 'PrestaShop', 'QUIC', 'Schema Plugin', 'UTF-8', 'Vector Internet Services']"
hillsflorist.com,"West Toronto Florist | Flower Delivery in the GTA | Hills Florist, est. 1933",,CAN,77,348045,2026-09-14T09:59:16.067628033Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bunny Fonts', 'Chatbase', 'CloudFront', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Font Awesome', 'FreeCSSTemplates', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Magento', 'Microdata for Google Shopping', 'PayPal Adaptive Payments', 'QUIC', 'Shopify', 'Stripe', 'The Fresh', 'UTF-8', 'Userpilot', 'YouTube', 'reCAPTCHA']"
wcfradio.org,"WCF Radio | Encouraging, Convicting, Uplifting",,,70,20117,2026-09-14T09:59:16.047306719Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Bridge', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'PHP', 'PayPal Button', 'PayPal Form', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
qualityprintzone.com,qualityprintzone,,VEN,65,7035,2026-09-14T09:39:27.236963024Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Checkout.com', 'Cisco/Arrowpoint Content Service Switch', 'Coming Soon Page', 'Content Delivery Network', 'Express', 'Google My Business', 'Instagram Follow Button', 'PayPal Adaptive Payments', 'QUIC', 'ShopBase', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Umbler', 'YouTube', 'eLand', 'shadcn ui']"
fallenlotuspetals.com,Fallen Lotus Petals,,,62,15000,2026-09-14T09:39:27.228633397Z,"['Amazon Widgets', 'Express', 'Facebook Embedded Posts', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Recommendations AI', 'Nginx', 'PWA', 'PayPal Button', 'PayPal Form', 'QUIC', 'Shockwave Flash Embed', 'Twitter Ads', 'UTF-8', 'YouTube']"
rancholagitana.org,Pátzcuaro Vision Campaign - Rancho La Gitana,Rancho La Gitana,,67,539,2026-09-14T09:30:10.966984352Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Easy Fancybox', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPML Multilingual', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jQuery Pin It Button for Images']"
iglesianv.com,Iglesia Pentecostal | Nueva-vida | Hyattsville,,,57,27124,2026-09-14T09:21:57.12549246Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'PayPal Adaptive Payments', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'iPlayerHD', 'mlcom']"
richmondmurugantemple.org,Home,,,67,18120,2026-09-14T09:21:57.081711881Z,"['Apache', 'Express', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'PWA', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'UTF-8', 'Wangsu', 'Website Tonight']"
