domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
esmaamusic.com,ESMAA | Music Licensing In The UAE and Gulf,,,55,414,2026-09-13T12:12:41.37764735Z,"['Alternate Protocol', 'Bridge', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Qi Addons For Elementor', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
benjaminleiding.com,Benjamin Leiding – Researcher – Entrepreneur,,DEU,75,175,2026-09-13T12:12:41.377325615Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'EmbedPress', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Mesmerize Companion', 'Nginx', 'PHP', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
propertystock.com.pk,Home - Property Stock,,PAK,77,4524,2026-09-13T12:12:41.377765528Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'LiteSpeed', 'Metricool', 'Microdata for Google Shopping', 'PHP', 'PixelYourSite', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
coyotejacksbarandgrill.com,Cayote Jack Bar and Grill,,USA,75,1748,2026-09-13T12:12:41.376080229Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Elementor', 'EmbedPress', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
stadiacapital.com.au,Stadia Capital,,AUS,72,40,2026-09-13T12:12:41.376162734Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Foundation', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google Tag Manager', 'LiteSpeed', 'PHP', 'UTF-8']"
tmpmetalsgroup.com,"TMP Metals Group, Ltd. – Metal refinement, distribution and trading.",,USA,80,32248,2026-09-13T12:12:41.376305099Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'GoDaddy', 'Header, Footer and Blocks for Elementor', 'Hello Elementor', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
wgc.net.in,Home - WGC - Uncomplicate Your Business !,WGC - Uncomplicate Your Business !,,60,5698,2026-09-13T12:12:41.376999254Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Endis', 'Everest Forms', 'Express', 'Flash', 'GZIP Module', 'Google', 'Google My Business', 'Google Related Website Sites', 'HubSpot WordPress Plugin', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'reCAPTCHA']"
essam-belas.com,Essam Belas – Directeur Artistique – Graphiste,,FRA,35,,2026-09-13T12:12:41.37464027Z,"['Alternate Protocol', 'Apache', 'GZIP Module', 'PHP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
wahdatulommah.com,Wahdat ul Ommah – Your Trusted Platform for Online Islamic Education,,PAK,80,71143,2026-09-13T12:12:41.374290884Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'Elementor Custom Skin', 'ElementsKit Elementor', 'EmbedPress', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'LiteSpeed', 'Metform Elemento', 'PHP', 'Popup Maker for Wordpress', 'SMC', 'The Post Grid', 'Theme In WP', 'Tutor LMS', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
ginicshealthcare.com,Home - Ginics Healthcare,Ginics Healthcare,,67,1907,2026-09-13T12:12:41.373034881Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Pagekit', 'QUIC', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite']"
