domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
azitaai.com,Home - Azita AI – AI & FinTech Expert | Speaker | Consultant,,,60,5263,2026-09-13T12:12:41.355333402Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'InitiativeS', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Pixabay', 'PopularFX', 'Python', 'Salesforce Hosted', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
plc.ninja,PLC NINJA,,,30,,2026-09-13T12:12:41.351697695Z,"['Nginx', 'Python', 'Unix']"
hackerslash.dev,Md Afridi Sk | Backend Engineer | AI-Native Systems | IIT Kharagpur,,IND,92,5379,2026-09-13T12:03:18.61615474Z,"['Alternate Protocol', 'Astro', 'Carrd', 'Content Delivery Network', 'Express', 'GitHub Hosting', 'GoatCounter', 'Microdata for Google Shopping', 'Nginx', 'Python', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vercel']"
linabao.com,Lina Bao,,GBR,62,240,2026-09-13T12:03:18.612288224Z,"['Content Delivery Network', 'Next.js', 'Pleroma', 'Python', 'UTF-8', 'University or College', 'Vercel', 'shadcn ui']"
aljabrislamicschool.sch.id,Home - Al Jabr Islamic School,,IDN,65,,2026-09-13T12:03:18.607290927Z,"['Alternate Protocol', 'Express', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'PWA', 'Pleroma', 'Python', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube', 'jsDelivr', 'shadcn ui']"
nationalskillindiamission.in,"National Skill India Mission, Skill India, Skill News, Skill Related, Latest News, Latest Updates, Recent News, Skill Mission, Nsim, Skill Development, Skill",,IND,77,16247,2026-09-13T12:03:18.607508394Z,"['AWS WAF Challenge', 'Amazon S3 CDN', 'BootstrapMade', 'Digital Ocean Spaces', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'IcoMoon', 'Nginx', 'PHP', 'Pleroma', 'Python', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'University or College', 'YouTube', 'jQuery']"
cadbimconverter.com,"CADBIMconverter.com | Revit, AutoCAD, IFC, DGN converter",CADBIMConverter,DEU,92,116099,2026-09-13T12:03:18.596629036Z,"['AWS WAF Challenge', 'Agoda', 'Alternate Protocol', 'Apture Linking Platform', 'Calendly', 'CleanTalk Spam Protect', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Fireblade', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gtranslate for Wordpress', 'IcoMoon', 'InitiativeS', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'Muffin Group', 'PHP', 'Python', 'QUIC', 'QUIC.cloud', 'SMC', 'Simple Download Monitor', 'Slider Revolution', 'Tailwind CSS', 'Telegram', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WPForms', 'Woo Themes', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'YouTube']"
geochris.org,"Chris Lewis | Programmer, Scientist, Designer",,CAN,70,1240,2026-09-13T12:03:18.595874108Z,"['501c3 Status Nonprofit', 'Amazon Associates', 'Amazon Widgets', 'Angular', 'Apache', 'DAV', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'PHP', 'Placehold IT', 'Python', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'University or College', 'Unix', 'YouTube', 'jQuery', 'reCAPTCHA']"
positsource.com,"Posit Source Technologies | AI Engineering & Software Outsourcing Partner, India",Posit Source Technologies Pvt. Ltd.,USA,77,7908,2026-09-13T12:03:18.583427768Z,"['Alternate Protocol', 'Apache', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Python', 'QUIC', 'Tailwind CSS', 'Ubuntu', 'Vector Internet Services']"
homecreations.co.in,"Home - Simpolo Home Creations Exclusive Tiles Showroom | Premium Tiles Collection, Sanitaryware, Interior Designing Solution, Hardware and Fittings | Best Tiles Showroom Patna",HomeCreations,IND,75,250950,2026-09-13T12:03:18.581896011Z,"['Alternate Protocol', 'Automattic', 'Baidu Cloud', 'CCSI', 'Cloudflare', 'DAV', 'Duoban', 'Elementor', 'EmbedPress', 'Everest Forms', 'Express', 'Financial Services Guide', 'Font Awesome', 'FreeBSD', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'K2F', 'KVH', 'KeyCDN', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'No-Q', 'Ntent', 'Onyx Internet', 'PHP', 'Pagekit', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopware', 'Sign In With Google', 'Site Kit', 'Smush Image Optimization', 'Subversion', 'Table Addons for Elementor', 'ThemeGrill', 'UTF-8', 'Underscores', 'University or College', 'Vector Internet Services', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'ZAKRA', 'symfony PHP Framework']"
flighttabpro.com,Flight Tab Pro,,USA,72,2440,2026-09-13T12:03:18.578706406Z,"['Akamai Global Host', 'Cloudflare', 'Cloudflare CDN', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Python', 'QUIC', 'UTF-8']"
primathon.in,Custom Software Development Services Company USA | Primathon,Primathon Technology,,57,15200,2026-09-13T12:03:18.578902031Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Content Delivery Network', 'Ember.js', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'PWA', 'Pleroma', 'Python', 'QUIC', 'Salesforce Hosted', 'Sitelinks Search Box', 'The Fresh', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'WordPress', 'YouTube', 'shadcn ui']"
numlabs.com,Numlabs - AI solutions for your business.,,POL,87,19240,2026-09-13T12:03:18.575085041Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Debian', 'ElementUI', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'Line2', 'Materialize CSS', 'Matomo', 'Matomo Tag Manager', 'Pleroma', 'Python', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
mottoshirts.de,"mottoshirts.de - Prints, Trends, Shirts, Sprüche, Designs, Mode, Mottoshirts",,,55,199,2026-09-13T11:49:23.045072427Z,"['3 Products', 'DAV', 'Font Awesome', 'OpenResty', 'Python', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
dumpschampion.com,Pass Your IT Certification Exams with DumpsChampion,,,72,442640,2026-09-13T11:49:23.013817099Z,"['Adobe Experience Manager', 'Alternate Protocol', 'BLR', 'Bulma', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Citrix', 'Cloudflare', 'Cloudflare CDN', 'Financial Industry Regulatory Authority', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'JumpCloud', 'Microdata for Google Shopping', 'Oracle Cloud', 'PHP', 'Python', 'QUIC', 'Salesforce Hosted', 'Tailwind CSS', 'Tumblr', 'UTF-8', 'University or College', 'jQuery', 'reCAPTCHA']"
joshuaghannan.com,Joshua Hannan | Engineer — Machine Learning & AI,,,72,1879,2026-09-13T11:42:40.262882374Z,"['Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'NFOrce Internet', 'Python', 'Tailwind CSS', 'University or College', 'Vimeo', 'jQuery']"
whemic.xyz,whemic.xyz,,GBR,72,17840,2026-09-13T11:42:40.258641824Z,"['1Password', 'AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Financial Services Guide', 'GitHub Hosting', 'Iconfinder', 'Idaq', 'License Buttons', 'OSS CDN', 'Python', 'Sapper', 'Share Link', 'Subversion', 'Tailwind CSS', 'UTF-8', 'Unix']"
nibm.ac.lk,Higher Education Institution | National Institute of Business Management,,LKA,72,60588,2026-09-13T11:42:40.251478381Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Bunny Fonts', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Facebook CDN', 'Fireblade', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Oracle Cloud', 'PHP', 'Pleroma', 'Prospective', 'Python', 'QUIC', 'Siweb', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube']"
stephengodfrey.net,Godfrey,,USA,65,2868,2026-09-13T11:42:40.24636747Z,"['Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google Maps', 'Google My Business', 'IcoMoon', 'InitiativeS', 'Medium', 'Python', 'UTF-8', 'University or College', 'YouTube', 'jQuery']"
klshislegacy.com,"KLS Home Improvement Services, LLC | Home Renovations in Pembroke, KY","KLS Home Improvement Services, LLC",USA,77,119020,2026-09-13T11:31:39.881815919Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Harbor', 'Investor Relations', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'No-Q', 'Oddle', 'Perl', 'Pico CSS', 'Python', 'QUIC', 'SMC', 'Thank You', 'The Deck', 'The Fresh', 'Twitter Ads', 'UENI', 'UTF-8']"
elena-gospodinova.com,Elena Gospodinova|Portfolio,,GBR,77,735,2026-09-13T11:31:39.860563721Z,"['Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'GitHub Hosting', 'IcoMoon', 'Lineicons', 'Netlify', 'Python', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
samfreund.dev,Sam Freund,,,62,19939,2026-09-13T11:31:39.849078947Z,"['AWS WAF Challenge', 'Content Delivery Network', 'Fastly', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Python', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
