domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
hupp.org.in,Hire Dedicated Developer @ Hupp,,,60,3828,2026-09-12T22:11:45.405402861Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'ElementUI', 'Express', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Onyx Internet', 'Python', 'QUIC', 'Tailwind CSS', 'Vector Internet Services', 'shadcn ui']"
lifelinecharters.com,Unlock The Secrets Of Successful Fishing With Lifeline Charters,Lifeline Charters,USA,77,35322,2026-09-12T21:59:23.57713Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Fastly', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Maps', 'Heap', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'YouTube']"
haddensettlementfund.com,Home | Hadden Settlement Fund,,USA,72,2450,2026-09-12T21:59:23.54855783Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'Google Analytics', 'Google Tag Manager', 'PHP', 'Subversion', 'UTF-8', 'University or College', 'jsDelivr']"
southkihei.info,"1746-A S. Kihei Rd, Kihei, HI, 96753 | Rela",,,67,6250,2026-09-12T21:37:11.485855214Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'Neighborhoods', 'New Relic', 'Nginx', 'Parcel', 'Plausible Analytics', 'Subversion', 'UTF-8']"
highdefinitionaesthetic.com,"High Definition Esthetics | Health & Beauty in Parker, CO",,USA,82,5090,2026-09-12T21:29:02.035402975Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'Segment', 'Segment Consent Manager', 'UTF-8', 'reCAPTCHA']"
lab64.am,LAB64 - Web & Mobile Development Studio,,COL,72,19539,2026-09-12T21:29:01.996979785Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Nginx', 'Python', 'UTF-8', 'University or College', 'route']"
braic.nl,Home | Brain Research and Innovation Center,,NLD,87,8170,2026-09-12T21:29:01.992831845Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Barchart', 'CloudFront', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Next.js', 'Pico CSS', 'Thank You', 'UTF-8']"
rkinnersleyinsurance.com,"Final Expense and Life Insurance Agent, Sacramento CA",,USA,92,20890,2026-09-12T21:29:01.978363797Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'Ntent']"
1803halterman.com,1803 Halterman Avenue,,BOL,45,15315,2026-09-12T21:29:01.974696872Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'New Relic', 'Nginx', 'PHP', 'Plausible Analytics', 'SMC', 'Subversion', 'Tailwind CSS', 'UTF-8']"
betweenthetreesfarm.com,Between the Trees Farm: Home,,USA,70,12490,2026-09-12T21:29:01.974428237Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'QUIC', 'RM Education', 'Square', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
foodhub.ch,Foodhub - All orders at the lowest commission/service charge,,USA,87,2450,2026-09-12T21:13:10.204669513Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'App Store', 'CloudFront', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'YouTube', 'eLand']"
