domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
progressivegrower.com,Progressive Grower - Shop Grower Supplies Online,"Progressive Grower, Inc.",USA,92,33182,2026-09-12T20:27:59.97526415Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fireblade', 'GoDaddy', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Pagekit', 'Perl', 'Porto Wordpress', 'QUIC', 'Smush Image Optimization', 'Theme In WP', 'UTF-8', 'Vue.js', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
bvsanitationca.com,Big Valley Sanitation,,USA,77,32504,2026-09-12T20:12:37.241757392Z,"['Alternate Protocol', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Fastly', 'GZIP Module', 'GoDaddy', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Impreza', 'Microdata for Google Shopping', 'Mixpanel', 'Nginx', 'PHP', 'Pagekit', 'QUIC', 'Sitelinks Search Box', 'Smush Image Optimization', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'iPromote', 'jQuery']"
ledconstructionca.com,Home - LED Construction,,USA,70,1493,2026-09-12T20:12:37.212223573Z,"['Adult Content', 'Alternate Protocol', 'Complianz', 'Divi', 'Elegant Themes', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'QUIC', 'Slider Revolution', 'Smush Image Optimization', 'Supreme Modules Lite', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
zurkaroofing.com.au,"Zurka Roofing – Restoring, Repairing & Reviving Roofs with Care and Precision",,AUS,70,17499,2026-09-12T19:50:24.827233396Z,"['Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Investor Relations', 'NFOrce Internet', 'Ntent', 'PHP', 'Pagekit', 'QUIC', 'Smush Image Optimization', 'Table Addons for Elementor', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
smilehighfilm.com,aerial photography drone filming 360 panorama,SMILE HIGH FILM,GBR,77,36466,2026-09-12T19:37:18.265022917Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Automattic Direct', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'EmbedPress', 'Endis', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'Instagram Follow Button', 'Jetpack', 'Kadence WP', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'Pagekit', 'Presto Player', 'Smush Image Optimization', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Video Embed and Thumbnail Generator', 'Vimeo', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
celynfarm.co.uk,Celyn Farm | Bed and breakfast Abergavenny Monmouthshire,,,60,325,2026-09-12T19:37:18.239976557Z,"['Alternate Protocol', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Nginx', 'PHP', 'Pagekit', 'Parallels Plesk Panel', 'Smush Image Optimization', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
woodlandsacademybristol.com,Home - Woodlands Academy,,,82,22167,2026-09-12T19:26:41.753742752Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'CookieYes', 'ElementUI', 'EmbedPress', 'Fastly', 'GoDaddy', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft 365', 'MonsterInsights', 'Oxygen', 'Oxygen Builder', 'Pagekit', 'QUIC', 'Smush Image Optimization', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
musurveying.ca,Miller & Urso Surveying Inc,,USA,70,1275,2026-09-12T19:11:44.092885082Z,"['Alternate Protocol', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'IcoMoon', 'OceanWP', 'PHP', 'Pagekit', 'Popup Maker for Wordpress', 'QUIC', 'Smush Image Optimization', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Mobile Menu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
trespassingaloud.com,Trespassing Aloud – A Podcast with John M. Schroeder,,USA,70,19541,2026-09-12T19:02:09.324632991Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Genesis Blocks', 'GiveWP', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'NFOrce Internet', 'PHP', 'Pagekit', 'Smush Image Optimization', 'Table Addons for Elementor', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
bardawille.com.au,Bardawille | Commercial Furniture Sydney | Bardawille Pty Ltd,Bardawille Pty Ltd,AUS,77,4397,2026-09-12T18:50:08.568731237Z,"['Alternate Protocol', 'Astra Theme', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Gambling Content', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Pagekit', 'QUIC', 'Sitelinks Search Box', 'Smush Image Optimization', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
