domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
resultants.agency,Business Profit Resultants| No consultants.,,,62,2731,2026-09-13T14:12:34.466273681Z,"['Apache', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Line2', 'QUIC', 'StackPath', 'Tailwind CSS', 'YouTube']"
erikrosas.com,Home - Erik Rosas,,,55,10339,2026-09-13T14:04:43.895357513Z,"['Apache', 'Bulma', 'Font Awesome', 'GZIP Module', 'Jekyll', 'PWA', 'SAS', 'StackPath', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
gilbertplains.com,Municipality of Gilbert Plains - Home,,USA,77,6580,2026-09-13T14:04:43.892314467Z,"['AJAX Libraries API', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Facebook Embedded Posts', 'FreeCSSTemplates', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Microsoft Azure', 'OpenResty', 'Pico CSS', 'Prefix Free', 'QUIC', 'StackPath', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'jQuery', 'reCAPTCHA']"
bsw.am,Business Single Window,,,55,243,2026-09-13T14:04:43.886208655Z,"['AJAX Libraries API', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Cloud DNS', 'Nginx', 'StackPath', 'Subversion', 'UTF-8', 'jQuery', 'jsDelivr']"
thedoshierteam.com,Outer Banks Real Estate | OBX Realtors | Outer Banks Realty,The Doshier Team,USA,87,20006,2026-09-13T14:04:43.857623172Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'Fireblade', 'GenerateBlocks', 'Google My Business', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'QUIC', 'Sitelinks Search Box', 'StackPath', 'Theme In WP', 'UTF-8', 'Ultimate Addons for Gutenberg', 'Widget Options', 'WordPress', 'WordPress Multisite', 'jQuery']"
eurotel.ae,Euro Tel - Coming Soon,,,40,240,2026-09-13T14:04:43.843021675Z,"['Coming Soon Page', 'Nginx', 'StackPath']"
leacademy.asia,Le Academy - Hệ thông đào tạo Lập trình viên & Kiểm thử phần mềm chuyên nghiệp,,THA,82,7240,2026-09-13T13:50:29.716002974Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Jekyll', 'Microdata for Google Shopping', 'QUIC', 'StackPath', 'Tailwind CSS', 'UTF-8', 'YouTube']"
beyondestimator.com,BEYOND ESTIMATOR,,,57,3243,2026-09-13T13:39:36.109706024Z,"['Apache', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'SiteW', 'StackPath', 'Wangsu', 'YouTube']"
lucasczarnecki.ca,Lucas Czarnecki | Lucas Czarnecki,,,52,240,2026-09-13T13:39:36.077845201Z,"['Alternate Protocol', 'Content Delivery Network', 'GitHub Hosting', 'Hugo', 'Netlify', 'Pico CSS', 'StackPath', 'Twitter Ads', 'UTF-8']"
mhalgaddah.com,MH Al Gaddah Auto spare parts and components Trading LLC,,,55,10959,2026-09-13T13:30:34.731772066Z,"['Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'StackPath', 'Tailwind CSS', 'Wangsu', 'jsDelivr']"
marketshareassociates.com,Home | MarketShare Associates,MarketShare Associates,RWA,82,5590,2026-09-13T13:30:34.695268679Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'CheryFramework', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Sitelinks Search Box', 'StackPath', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
invasivereport.com,Invasive Report,,CAN,65,17700,2026-09-13T13:30:34.695028297Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'QUIC', 'Qualtrics Site Intercept', 'StackPath', 'UTF-8', 'University or College']"
highsteele.com,High Steele Fencing | Pensacola and Pace Florida Locations,,,67,20439,2026-09-13T13:10:30.472550042Z,"['Adult Content', 'Better Lead Generation Services', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Microsoft Azure', 'Microsoft IIS', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'jsDelivr']"
cavalierliquidation.com,Cavalier Construction Company Limited (In Official Liquidation),,BHS,67,3400,2026-09-13T12:59:13.649105336Z,"['Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'GZIP Module', 'StackPath', 'Twist', 'UTF-8']"
getblueivy.com,Shaping Amazing Workplaces,,,60,339,2026-09-13T12:59:13.640910452Z,"['Apache', 'Bulma', 'Corporate Governance and Regulatory Compliance', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'PHP', 'StackPath', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
pdptax.com,PDP Tax Service,,,52,480,2026-09-13T12:45:57.577960145Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'HostGator', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'StackPath', 'Visual Studio']"
veritatisfaber.com,Veritatisfaber,,,55,384,2026-09-13T12:45:57.573731414Z,"['GZIP Module', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'StackPath', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
davoujdesign.com,DavoujDesign,,,65,5049,2026-09-13T12:45:57.564286133Z,"['Bulma', 'Content Delivery Network', 'DAV', 'Fastly', 'Formspree', 'GZIP Module', 'GitHub Hosting', 'StackPath', 'Subversion', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
doublefivemidcities.com,"Double Five Mid Cities – Martial Arts | Bedford, TX",,,67,4988,2026-09-13T12:35:36.409308799Z,"['Alternate Protocol', 'Apture Linking Platform', 'Content Delivery Network', 'EmbedPress', 'Fancybox for WordPress', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'StackPath', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jsDelivr']"
acrimet.pt,Acrimet,,PRT,65,22339,2026-09-13T12:25:24.054869473Z,"['AJAX Libraries API', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Fireblade', 'Font Awesome', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'MaxCDN', 'PHP', 'StackPath', 'UTF-8', 'jQuery']"
gurleyen.av.tr,İstanbul Avukatlık Bürosu | Gürleyen + Partners,,TUR,52,243,2026-09-13T12:25:24.043436394Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'LiteSpeed', 'QUIC', 'StackPath']"
icemmmt.com,Welcome to ICEMMMT 2026,,IND,77,17668,2026-09-13T12:12:41.347932452Z,"['AWS WAF Challenge', 'Bulma', 'Content Delivery Network', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'Netlify', 'StackPath', 'UTF-8', 'University or College', 'jsDelivr']"
realtorjaswinder.com,"Realtors in Mississauga, ON | GTA Realtor Jaswinder Dade",,CAN,72,4399,2026-09-13T12:03:18.623513626Z,"['Apache', 'ArvanCloud', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Ajax Content Delivery Network', 'PHP', 'QUIC', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Ubuntu', 'jsDelivr', 'reCAPTCHA']"
ldnresearchtrust.org,LDN Research Trust - The Low Dose Naltrexone Charity,,,60,1005,2026-09-13T12:03:18.538360778Z,"['Amazon', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'App Store', 'Aruba', 'Azion', 'Backdrop', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Drupal', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Pantheon', 'StackPath', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube', 'eLand']"
shopcreativehub.com,Online Printing Services - Custom Printing - Shop Creative Hub,,IND,72,5680,2026-09-13T11:42:40.28136354Z,"['Apache', 'AutoComplete', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Medium', 'QUIC', 'SiteW', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Ubuntu', 'WhatsApp Sharing', 'shadcn ui']"
the-quran.app,"The Quran – القران – Explore, Search and Corpus",,PAK,77,4068,2026-09-13T11:42:40.247939068Z,"['Apple Auto Link Maker', 'GZIP Module', 'Google My Business', 'Google Play', 'IcoMoon', 'Instagram Follow Button', 'Nginx', 'PWA', 'QUIC', 'StackPath', 'reCAPTCHA']"
thippanahallihomestay.com,Thippanahalli Homestay – Experience Heritage the Homely Way,,IND,77,5126,2026-09-13T11:22:15.564270658Z,"['DAV', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'PHP', 'Popup Maker for Wordpress', 'StackPath', 'The Events Calendar', 'Twitter Ads', 'UTF-8', 'University or College', 'WPBakery', 'Woo Themes', 'WooCommerce Checkout', 'WordPress Multisite', 'YouTube']"
dream.co.in,Dream.co.in,,,47,734,2026-09-13T11:22:15.51964015Z,"['AWS WAF Challenge', 'ArvanCloud', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'OpenResty', 'StackPath', 'UTF-8', 'jsDelivr']"
pompomgolf.com,PomPomGolf.com domain name may be for sale,,,42,734,2026-09-13T11:11:21.341959932Z,"['AWS WAF Challenge', 'ArvanCloud', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'OpenResty', 'StackPath', 'UTF-8', 'jsDelivr']"
