domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
nerdia.io,Научим проектировать и масштабировать веб-сервисы | Nerdia,,,67,77110,2026-09-13T14:58:41.286313774Z,"['Alternate Protocol', 'Amplitude', 'Content Delivery Network', 'DAV', 'Facebook Customer Chat SDK', 'Financial Services Guide', 'Gatsby JS', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'NFOrce Internet', 'No-Q', 'SMC', 'Styled Components', 'Subversion', 'Telegram', 'UTF-8', 'Vercel']"
royaltyfencing.com,Royalty Fence \ Top Fence Contractor in Deltona FL,,ZAF,77,36188,2026-09-13T14:36:10.57768393Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'DAV', 'Duda', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'KVH', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'QUIC', 'Styled Components', 'Tailwind CSS', 'UTF-8', 'eLand']"
duilawyerhawaiihi.com,"DUI Attorney |Honolulu, HI| Dean C.M. Hoe",Dean C.M. Hoe Attorney At Law,,77,31068,2026-09-13T14:25:46.148970582Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Duda', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Mixpanel', 'Nginx', 'Perl', 'QUIC', 'Smooch', 'Styled Components', 'Tailwind CSS', 'Thryv', 'Twitter Ads', 'UTF-8', 'Yelp Badge', 'iPromote']"
philgruneich.com,Phil Gruneich has a portfolio. Say Hi!,,,50,,2026-09-13T14:04:43.874264243Z,"['Content Delivery Network', 'GitHub Hosting', 'Netlify', 'Next.js', 'PWA', 'Pleroma', 'Styled Components', 'UTF-8']"
ssubifoundation.org,Ssubi Foundation - Hope is what we have,,UGA,77,2728,2026-09-13T14:04:43.872982291Z,"['Canada Helps', 'Content Delivery Network', 'Gatsby JS', 'Idaq', 'Instagram Follow Button', 'Netlify', 'Styled Components', 'Twitter Ads', 'UTF-8', 'University or College']"
webwonderland.co.uk,Web Design Essex | WordPress & Digital Marketing,,GBR,77,119458,2026-09-13T13:50:29.72026333Z,"['34SP.com', 'AiNET', 'Better Lead Generation Services', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Gatsby Image CDN', 'Gatsby JS', 'GitHub Hosting', 'Google Customer Reviews', 'Idaq', 'K2F', 'KVH', 'Nationwide Mortgage Licensing System and Registry', 'Netlify', 'No-Q', 'PHP', 'SMC', 'Styled Components', 'Subversion', 'UTF-8', 'YouTube']"
spoolswaps.com,Home,,,50,7890,2026-09-13T13:50:29.710728469Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'DAV', 'Etsy', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Nginx', 'Styled Components', 'Systeme', 'Thank You', 'UTF-8']"
merimbulacoffee.com.au,"Merimbula's favourite coffee location, Mitchies Espresso Bar",,AUS,67,5512,2026-09-13T13:39:36.108994942Z,"['DDoS-GUARD', 'Express', 'GZIP Module', 'Microdata for Google Shopping', 'Pico CSS', 'Schema Plugin', 'Styled Components', 'UTF-8', 'Yandex Hosting', 'uKit']"
polishstories.net,Learn Polish online with stories and conversations,,GBR,72,23771,2026-09-13T13:30:34.704247094Z,"['Aruba', 'Bunny Fonts', 'Coming Soon Page', 'Express', 'GZIP Module', 'GetResponse', 'Google', 'Google My Business', 'Landis Holdings', 'Perl', 'Styled Components', 'Subversion', 'Tailwind CSS', 'Telegram', 'Thank You', 'TidyCal', 'UTF-8', 'University or College', 'eLand']"
veterangasplumbing.co.uk,Home,,,60,498,2026-09-13T13:10:30.469656111Z,"['123-Reg', 'Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Thank You', 'UTF-8']"
breastfeeding.org,Home - San Diego County Breastfeeding Coalition,,USA,82,42115,2026-09-13T12:59:13.61620622Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Duda', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google My Business', 'InitiativeS', 'Instagram API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Neon One', 'Nginx', 'Perl', 'QUIC', 'RM Education', 'Styled Components', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'Vimeo', 'YouTube', 'reCAPTCHA']"
booleandev.com,Boolean Dev,,CAN,77,3228,2026-09-13T12:59:13.609198093Z,"['GZIP Module', 'Google Cloud', 'Google My Business', 'Google Workspace', 'IcoMoon', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'QUIC', 'Styled Components', 'Twitter Ads', 'UTF-8', 'YouTube']"
westernbbqproducts.com,Western Premium BBQ Products Made from Real Wood For the Best Flavor,,,67,56669,2026-09-13T12:45:57.552284431Z,"['Alternate Protocol', 'Cybot', 'Duda', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'JIRA', 'KVH', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'PowerReviews', 'Styled Components', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube']"
venezolatino.fr,Latin American Restaurant in Strasbourg | VenezoLatino,,FRA,82,17520,2026-09-13T12:35:36.388629811Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'ElementUI', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pirsch', 'Styled Components', 'UTF-8', 'YouTube']"
pesquisa.enf.br,"Dr.eduhonorato Official: Instagram, X | Linktree",,,72,10992,2026-09-13T12:12:41.356800814Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Fastly', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Hotmart', 'Instagram Follow Button', 'Kitco', 'Linktree', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'Ntent', 'PWA', 'Pleroma', 'QUIC', 'Rakuten Affiliate', 'SiteW', 'Storyblocks', 'Styled Components', 'Superfiliate', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube', 'shadcn ui']"
nuthatchgardendesign.com,Landscape Design in Beaverton OR Nuthatch Garden Design,,USA,77,177968,2026-09-13T11:49:23.014054586Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'DAV', 'Duda', 'Express', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'K2F', 'KVH', 'Nationwide Mortgage Licensing System and Registry', 'Nginx', 'O2MC Dimml', 'Perl', 'QUIC', 'SMC', 'Share Link', 'Styled Components', 'Tailwind CSS', 'The Deck', 'The Fresh', 'UTF-8', 'eLand']"
modthai.com.au,Thai Food in Port Stephens | Mod Thai Restaurant & Noodle Bar,,USA,77,30828,2026-09-13T11:42:40.283934533Z,"['Amazon CloudFront', 'CloudFront', 'DAV', 'Duda', 'Elfsight', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'Styled Components', 'Tailwind CSS', 'The Fresh', 'UTF-8']"
entropyrestaurant.be,Fine Dining Restaurant in Bruxelles | Entropy Restaurant,,BEL,77,70493,2026-09-13T11:42:40.254738042Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cornerstone', 'DAV', 'Drata', 'ElementUI', 'Envoy', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'GoDaddy', 'Google', 'Google Cloud CDN', 'Google Customer Reviews', 'Google My Business', 'InitiativeS', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'Parcel', 'Perl', 'Pirsch', 'QUIC', 'Styled Components', 'Subversion', 'Thank You', 'The Deck', 'The Fork', 'UTF-8', 'University or College', 'Unsplash', 'Yelp Badge', 'YouTube', 'eLand']"
facialab.co.uk,Award Winning | HIFU | Botox | Fillers | Aesthetics,,GBR,82,15894,2026-09-13T11:22:15.564492633Z,"['AWS WAF Challenge', 'Apyl', 'Duda', 'Express', 'FormSubmit', 'Fresha', 'GZIP Module', 'Google Customer Reviews', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'Perl', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Thank You', 'UTF-8']"
byfar.fi,Byfar,,FIN,40,1120,2026-09-13T11:22:15.546952442Z,"['Adobe Creative Cloud WebFonts', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Netlify', 'Next.js', 'Styled Components', 'UTF-8']"
cfcsb.com.my,CFC Fertiliser | Malaysia Fertiliser company,,,52,728,2026-09-13T11:13:26.157507938Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Duda', 'ETranslate', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Nginx', 'Perl', 'Styled Components', 'Tailwind CSS', 'UTF-8']"
aupieddesmarais.fr,Fine Dining Restaurant in Varaville | Au Pied des Marais,,FRA,82,19920,2026-09-13T11:11:21.322117931Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Azion', 'ElementUI', 'Express', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pirsch', 'QUIC', 'Styled Components', 'UTF-8', 'YouTube', 'Zenchef']"
cityservicescoalition.com,City Services Coalition | New Orleans,,USA,82,564,2026-09-13T10:26:30.88960144Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'DAV', 'Duda', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Neighborhoods', 'Nginx', 'Perl', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube']"
enriquesolis.me,Enrique Solis - Portfolio,,USA,77,2680,2026-09-13T10:04:04.162910295Z,"['Angular', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'LiteSpeed', 'Microsoft Clarity', 'Next.js', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Vercel']"
brightberrymarketing.com,Brightberry Marketing,,,60,7788,2026-09-13T09:20:59.479832869Z,"['Amazon CloudFront', 'Better Lead Generation Services', 'CloudFront', 'Duda', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'Styled Components', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube']"
elmambohotel.com,Boutique Hotel | El Mambo Boutique Hotel | DR,,DOM,77,54676,2026-09-13T08:45:28.971457708Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'DAV', 'Duda', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'SMC', 'StackPath', 'Styled Components', 'Tailwind CSS', 'Termly', 'Triggered Messaging', 'UTF-8']"
taxibonifacio.fr,Taxi Service in Bonifacio | Taxi Bonifacio Stéphane Di Meglio,Taxi Bonifacio Stéphane Di Meglio,FRA,82,20304,2026-09-13T08:45:28.941389225Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Azion', 'ElementUI', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google My Business', 'Microdata for Google Shopping', 'NFOrce Internet', 'Perl', 'Pirsch', 'QUIC', 'Styled Components', 'UTF-8', 'Unsplash', 'YouTube']"
