domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
achervonnaya.art,Welcome | Anastasiya Chervonnaya,,,42,603,2026-09-13T13:39:36.110615954Z,"['Fastly', 'Gatsby JS', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Nginx', 'Telegram']"
metal-garant.ru,Домен припаркован в Timeweb,,,50,3053,2026-09-13T13:30:34.718907137Z,"['ADFOX', 'Apple Auto Link Maker', 'Bitrix', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Instagram Follow Button', 'Nginx', 'Telegram', 'Twitter Ads', 'UTF-8', 'Yandex Hosting', 'YouTube', 'reCAPTCHA']"
polishstories.net,Learn Polish online with stories and conversations,,GBR,72,23771,2026-09-13T13:30:34.704247094Z,"['Aruba', 'Bunny Fonts', 'Coming Soon Page', 'Express', 'GZIP Module', 'GetResponse', 'Google', 'Google My Business', 'Landis Holdings', 'Perl', 'Styled Components', 'Subversion', 'Tailwind CSS', 'Telegram', 'Thank You', 'TidyCal', 'UTF-8', 'University or College', 'eLand']"
cyprustaxi24.com,Cyprus Taxi 24/7 – Paphos Airport & Larnaca Airport Transfers,Taxi Cyprus | Larnaca & Paphos Airport Transfers 24/7,CYP,92,11419,2026-09-13T13:19:55.043730128Z,"['Alternate Protocol', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'IcoMoon', 'Icons8', 'Instagram Follow Button', 'Jetpack', 'Kitco', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'Schema Plugin', 'Site Kit', 'Site Reviews for Wordpress', 'Telegram', 'Theme In WP', 'UTF-8', 'Vercel', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'eLand', 'jQuery', 'jsDelivr']"
365streamtv.online,"Football Scores Updates, Fixtures, Results | 365StreamTV",,USA,77,39158,2026-09-13T13:19:55.015813909Z,"['AWS WAF Challenge', 'Alternate Protocol', 'AutoComplete', 'BunnyCDN', 'BunnyCDN General', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Fireblade', 'Flat Icon', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Ntent', 'Perl', 'Pixabay', 'Tailwind CSS', 'Tawk', 'Telegram', 'UTF-8', 'Unix', 'eLand', 'jQuery']"
kimia.fi,Home of Kimmo Ahokas | kimia.fi,,,62,2400,2026-09-13T13:19:55.013110076Z,"['Alternate Protocol', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Jekyll', 'Mastodon', 'Microdata for Google Shopping', 'Tailwind CSS', 'Telegram', 'Twitter Ads', 'UTF-8', 'University or College']"
zanvorin.com,zanvorin.com,,GBR,65,32318,2026-09-13T13:13:26.157921169Z,"['3 Products', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Endis', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Line2', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'Telegram', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'XTemos Studio', 'YouTube', 'jQuery']"
gruendler.mur.at,Seppo Gruendler,,SRB,72,2740,2026-09-13T13:10:30.490532362Z,"['Alternate Protocol', 'Apache', 'Automattic', 'Debian', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Hugo', 'Instagram Follow Button', 'Telegram']"
elmanails.com,"@elmanails | TALKING TWIN AI™ by @Laurasales Stan, | Beacons",,,52,5347,2026-09-13T13:10:30.480952671Z,"['Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Beacons', 'Canva Websites', 'Financial Services Guide', 'GZIP Module', 'Google Cloud', 'Google Cloud DNS', 'Google Cloud Storage', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Subversion', 'Telegram', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube']"
brollywoodcyprus.com,BROLLYWOOD | Corporation,,,57,2040,2026-09-13T13:10:30.468922837Z,"['Baidu Cloud', 'DDoS-GUARD', 'GZIP Module', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Schema Plugin', 'Telegram', 'Tilda', 'UTF-8', 'Vector Internet Services', 'Yandex Hosting', 'YouTube']"
