domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
phycon.com,Home - Phycon,,,57,7500,2026-09-12T22:58:05.65826898Z,"['Fireblade', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Nginx', 'UTF-8', 'Vimeo', 'reCAPTCHA']"
wizardanimations.co.uk,High End 2D & 3D Video Animation Services | Wizard Animations,,GBR,77,16040,2026-09-12T22:58:05.654392694Z,"['Apache', 'Apture Linking Platform', 'ArvanCloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DMCA Badge', 'ElementUI', 'Fancybox for WordPress', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Tawk', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WhatsApp Sharing', 'YouTube', 'jsDelivr']"
seethefleet.com,Vehicle Monitoring Solutions - See the Fleet,See the Fleet,,60,8868,2026-09-12T22:58:05.639823854Z,"['AWS WAF Challenge', 'Akismet', 'Alternate Protocol', 'Amazon WAF Blocked', 'Aruba', 'Cloudflare', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'YouTube Advanced by Embed Plus', 'eLand', 'jQuery', 'reCAPTCHA']"
creativelasercustoms.com,Home - Creative Laser Customs,Creative Laser Customs,,50,35342,2026-09-12T22:58:05.611120511Z,"['Akismet', 'Alternate Protocol', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Fireblade', 'Font Awesome', 'FreeBSD', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Jetpack', 'KeyCDN', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Photo Gallery for WordPress', 'Python', 'Salesforce Hosted', 'Shopware', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Umbler', 'University or College', 'Vector Internet Services', 'Vignette OpenText', 'Vimeo', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'YouTube', 'jQuery', 'symfony PHP Framework', 'uPress', 'vzaar']"
lumeracreative.com,AI Marketing Systems for Realtors | Lumera Creative,,,67,34500,2026-09-12T22:58:05.6070292Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Free Call', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Thank You', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'YouTube', 'Zoom Video Conferencing', 'shadcn ui']"
sarasotamotorcycledetailing.com,Mobile Detailing - Sarasota Motorcycle Detailing LLC,Sarasota Motorcycle Detailing  LLC,USA,82,19572,2026-09-12T22:48:55.926383344Z,"['DAV', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'PWA', 'UTF-8', 'University or College', 'Vimeo', 'Vimeo CDN', 'Wangsu', 'Website Tonight']"
mullansbay.com,Mullans Bay - Peace & Tranquility - Self Catering Accommodation in Fermanagh - Mullans Bay,,GBR,62,8108,2026-09-12T22:48:55.908025724Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Azure', 'Microsoft IIS', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Visual Studio', 'YouTube', 'eLand', 'reCAPTCHA']"
cbd-wuryy.com,Elevate Your Delivery Game - A.I.Q,,,60,5166,2026-09-12T22:48:55.901725391Z,"['Alpine IQ', 'Amazon', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'IcoMoon', 'Intercom', 'Ntent', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'YouTube', 'Zendesk Embeddables', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
wooshball.com,Discover WooshBall - WooshBall,WooshBall,,72,3111,2026-09-12T22:48:55.889351866Z,"['Alternate Protocol', 'Apache', 'Astra Theme', 'Automattic', 'CartFlows', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Table Addons for Elementor', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WP Super Cache', 'WPFront Scroll Top', 'Woo Themes', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'YouTube', 'jQuery']"
taat.nl,Taat | Imagine the Unimaginable,,,62,2980,2026-09-12T22:48:55.878313743Z,"['GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Nginx', 'Parallels Plesk Panel', 'Tailwind CSS', 'UTF-8', 'Vimeo']"
