domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
cinemasiete.com,Cinema Siete – Video Productions That Engage Your Audience!,,USA,65,1162,2026-09-13T13:19:55.046054589Z,"['Alternate Protocol', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'ConvertPlug', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Go Pricing', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'LayerSlider Responsive', 'PHP', 'Recent Tweets Widget for WordPress', 'Slider Revolution', 'The7', 'Theme In WP', 'UTF-8', 'Visual Composer Ultimate Addons', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
elmhurstareamoms.org,Elmhurst Area Moms,,,62,30712,2026-09-13T13:19:55.045568898Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Aruba', 'Astra Theme', 'Beaver Builder Lite', 'Content Delivery Network', 'Contento', 'Digital Ocean Spaces', 'EmbedPress', 'Event Tickets for Wordpress', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Oddle', 'PHP', 'Say what', 'Schema Plugin', 'Stripe', 'Termageddon', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'Usercentrics', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
jmbaumgart.com,J M Baumgart,,,45,541,2026-09-13T13:19:55.045393563Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
cyprustaxi24.com,Cyprus Taxi 24/7 – Paphos Airport & Larnaca Airport Transfers,Taxi Cyprus | Larnaca & Paphos Airport Transfers 24/7,CYP,92,11419,2026-09-13T13:19:55.043730128Z,"['Alternate Protocol', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'IcoMoon', 'Icons8', 'Instagram Follow Button', 'Jetpack', 'Kitco', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'Schema Plugin', 'Site Kit', 'Site Reviews for Wordpress', 'Telegram', 'Theme In WP', 'UTF-8', 'Vercel', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'eLand', 'jQuery', 'jsDelivr']"
rtwgardeningservices.co.uk,RTW Gardening Services – Providing exemplary gardening services for Cambridgeshire and surrounding areas,,,62,647,2026-09-13T13:19:55.043371497Z,"['Alternate Protocol', 'Automattic', 'Content Delivery Network', 'EmbedPress', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Tailwind CSS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats']"
armandolarrauri.com,Armando Larrauri PHOTOGRAPHY,,VEN,75,26933,2026-09-13T13:19:55.043952111Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Cisco/Arrowpoint Content Service Switch', 'DAV', 'Express', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'KVH', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
mundanepros.com,"Dedicated Virtual Assistant Partner, AI-Powered | MundanePros",,PHL,82,20437,2026-09-13T13:19:55.043434432Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'Fastly', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'InitiativeS', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'Oxygen', 'Oxygen Builder', 'PHP', 'QUIC', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
ccjensen.ca,Home | klassenaf.com,klassenaf.com,CAN,67,11456,2026-09-13T13:19:55.043866754Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'CallRail', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Kitco', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Site Kit', 'Sitelinks Search Box', 'SmartCrawl', 'Thank You', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'YouTube']"
rmicmd.org,RAZA E MUSTAFA ISLAMIC CENTER RAZA E MUSTAFA ISLAMIC CENTER - RAZA E MUSTAFA ISLAMIC CENTER Masjid Al oor,RAZA E MUSTAFA ISLAMIC EDUCATION,CAN,77,16434,2026-09-13T13:19:55.04245026Z,"['AWS WAF Challenge', 'Alternate Protocol', 'CoBlocks', 'Contact Form Plugin', 'Ditty News Ticker', 'Easy Pie Chart', 'EmbedPress', 'FreeCSSTemplates', 'GoDaddy', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'MonsterInsights', 'PHP', 'Pleroma', 'Quiz Maker', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'bbPress', 'eLand', 'jQuery']"
sbciacademy.com,SBCI Academy,,RWA,70,2861,2026-09-13T13:19:55.041205324Z,"['Alternate Protocol', 'Apache', 'Astra Theme', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'PHP', 'QUIC', 'TablePress', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
bakeri.ca,Bakeri,Bakeri By Jess,USA,72,77521,2026-09-13T13:19:55.040208242Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google Analytics', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Oddle', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
